iter	Passed	Remaining
0	797	158697
1	1465	145059
2	2202	144640
3	2917	142956
4	3610	140801
5	4389	141928
6	5224	144035
7	5975	143411
8	6721	142641
9	7432	141208
10	8155	140131
11	8830	138350
12	9506	136740
13	10196	135473
14	10906	134514
15	11623	133664
16	12280	132195
17	12930	130739
18	13588	129448
19	14244	128197
20	14919	127174
21	15629	126460
22	16340	125748
23	17022	124833
24	17689	123824
25	18358	122863
26	19010	121810
27	19687	120937
28	20414	120373
29	21160	119906
30	21857	119159
31	22528	118272
32	23202	117418
33	23893	116655
34	24578	115868
35	25260	115076
36	25951	114327
37	26613	113459
38	27267	112565
39	27928	111714
40	28598	110906
41	29320	110299
42	30053	109730
43	30753	109033
44	31430	108259
45	32133	107577
46	32815	106826
47	33513	106125
48	34171	105304
49	34837	104512
50	35497	103708
51	36185	102990
52	36897	102338
53	37621	101718
54	38293	100956
55	38961	100185
56	39626	99413
57	40338	98758
58	41029	98053
59	41709	97322
60	42374	96557
61	43038	95795
62	43735	95107
63	44421	94395
64	45101	93672
65	45781	92950
66	46431	92169
67	47100	91430
68	47792	90736
69	48484	90043
70	49144	89291
71	49821	88570
72	50497	87851
73	51227	87225
74	51914	86524
75	52578	85786
76	53244	85053
77	53916	84331
78	54607	83639
79	55302	82953
80	56022	82305
81	56692	81581
82	57342	80831
83	58011	80110
84	58692	79407
85	59375	78707
86	60086	78043
87	60756	77326
88	61407	76586
89	62087	75884
90	62805	75228
91	63490	74532
92	64142	73798
93	64821	73096
94	65488	72382
95	66179	71694
96	66879	71016
97	67573	70331
98	68217	69595
99	68886	68886
100	69607	68228
101	70334	67576
102	71014	66878
103	71673	66159
104	72319	65432
105	73005	64740
106	73703	64060
107	74382	63363
108	75046	62653
109	75706	61941
110	76373	61236
111	77035	60528
112	77728	59844
113	78423	59161
114	79101	58466
115	79765	57761
116	80443	57066
117	81153	56395
118	81860	55720
119	82524	55016
120	83169	54300
121	83826	53594
122	84505	52902
123	85234	52240
124	85953	51571
125	86657	50894
126	87350	50209
127	88049	49527
128	88722	48831
129	89384	48130
130	90070	47441
131	90778	46764
132	91472	46079
133	92131	45378
134	92817	44690
135	93500	44000
136	94196	43316
137	94865	42620
138	95513	41915
139	96196	41226
140	96903	40548
141	97581	39857
142	98250	39162
143	98909	38464
144	99611	37783
145	100308	37100
146	101045	36431
147	101710	35736
148	102389	35046
149	103123	34374
150	103849	33699
151	104547	33014
152	105205	32317
153	105869	31623
154	106577	30941
155	107324	30270
156	108080	29601
157	108761	28911
158	109455	28224
159	110180	27545
160	110900	26864
161	111587	26174
162	112229	25475
163	112899	24782
164	113600	24097
165	114272	23405
166	114933	22711
167	115581	22015
168	116267	21327
169	116974	20642
170	117685	19958
171	118362	19268
172	119013	18574
173	119700	17886
174	120386	17198
175	121059	16508
176	121719	15816
177	122362	15123
178	123019	14432
179	123696	13744
180	124374	13055
181	125050	12367
182	125703	11677
183	126359	10987
184	127057	10301
185	127743	9615
186	128404	8926
187	129063	8238
188	129788	7553
189	130501	6868
190	131240	6184
191	132003	5500
192	132658	4811
193	133418	4126
194	134146	3439
195	134905	2753
196	135628	2065
197	136322	1376
198	137035	688
199	137723	0
