iter	Passed	Remaining
0	868	172857
1	1641	162516
2	2425	159268
3	3183	155985
4	3943	153782
5	4710	152297
6	5511	151963
7	6231	149564
8	6997	148502
9	7746	147192
10	8482	145753
11	9214	144365
12	9948	143108
13	10656	141579
14	11375	140293
15	12120	139391
16	12859	138423
17	13595	137464
18	14362	136826
19	15092	135833
20	15875	135321
21	16649	134711
22	17407	133963
23	18212	133561
24	18973	132812
25	19761	132252
26	20530	131549
27	21275	130691
28	22064	130103
29	22808	129247
30	23564	128466
31	24330	127737
32	25057	126806
33	25825	126089
34	26572	125270
35	27336	124531
36	28177	124133
37	28924	123311
38	29689	122562
39	30419	121676
40	31144	120780
41	31868	119885
42	32618	119094
43	33344	118222
44	34122	117533
45	34910	116875
46	35658	116081
47	36426	115349
48	37158	114510
49	37908	113726
50	38680	113007
51	39437	112244
52	40153	111368
53	40890	110555
54	41610	109699
55	42349	108898
56	43071	108056
57	43805	107247
58	44573	106523
59	45316	105738
60	46028	104884
61	46758	104075
62	47474	103239
63	48207	102440
64	48963	101692
65	49744	100997
66	50525	100296
67	51296	99575
68	52049	98819
69	52805	98066
70	53576	97342
71	54321	96571
72	55061	95792
73	55809	95026
74	56549	94249
75	57253	93413
76	57986	92627
77	58737	91871
78	59467	91083
79	60192	90289
80	60958	89556
81	61704	88794
82	62444	88024
83	63270	87372
84	64014	86608
85	64772	85861
86	65485	85055
87	66260	84331
88	67057	83633
89	67792	82857
90	68520	82073
91	69228	81268
92	69945	80475
93	70660	79681
94	71383	78897
95	72083	78090
96	72798	77301
97	73541	76542
98	74272	75773
99	74985	74985
100	75723	74224
101	76484	73485
102	77235	72736
103	77978	71979
104	78708	71212
105	79452	70458
106	80193	69701
107	80905	68919
108	81687	68197
109	82491	67492
110	83248	66749
111	83993	65994
112	84752	65251
113	85471	64478
114	86216	63725
115	86936	62953
116	87658	62185
117	88423	61446
118	89171	60696
119	89950	59966
120	90662	59192
121	91380	58423
122	92117	57666
123	92843	56904
124	93569	56141
125	94306	55386
126	95019	54617
127	95776	53874
128	96518	53122
129	97283	52383
130	98052	51646
131	98842	50918
132	99603	50176
133	100371	49436
134	101136	48695
135	101926	47965
136	102672	47214
137	103437	46471
138	104174	45716
139	104922	44966
140	105690	44225
141	106428	43470
142	107163	42715
143	107913	41966
144	108640	41208
145	109392	40460
146	110142	39711
147	111009	39003
148	111737	38245
149	112495	37498
150	113241	36747
151	114021	36006
152	114836	35276
153	115594	34528
154	116330	33773
155	117078	33022
156	117805	32265
157	118558	31515
158	119317	30767
159	120054	30013
160	120777	29256
161	121526	28506
162	122272	27755
163	123015	27003
164	123734	26246
165	124511	25502
166	125285	24757
167	126010	24001
168	126742	23248
169	127499	22499
170	128272	21753
171	129074	21012
172	129864	20267
173	130679	19526
174	131479	18782
175	132217	18029
176	132970	17278
177	133736	16529
178	134485	15777
179	135221	15024
180	135948	14270
181	136699	13519
182	137451	12768
183	138198	12017
184	138960	11267
185	139689	10514
186	140422	9761
187	141169	9010
188	141891	8258
189	142639	7507
190	143387	6756
191	144123	6005
192	144841	5253
193	145609	4503
194	146395	3753
195	147180	3003
196	147932	2252
197	148701	1502
198	149425	750
199	150311	0
