iter	Passed	Remaining
0	821	163532
1	1561	154577
2	2270	149075
3	2944	144262
4	3665	142962
5	4347	140559
6	5009	138115
7	5691	136605
8	6407	135986
9	7114	135183
10	7817	134326
11	8524	133553
12	9239	132909
13	9909	131650
14	10559	130239
15	11382	130893
16	12108	130345
17	12822	129646
18	13513	128735
19	14212	127909
20	14968	127592
21	15674	126818
22	16359	125897
23	17058	125096
24	17713	123995
25	18395	123108
26	19089	122315
27	19758	121371
28	20446	120562
29	21119	119677
30	21823	118972
31	22577	118531
32	23314	117985
33	24007	117214
34	24731	116589
35	25515	116237
36	26230	115557
37	26935	114831
38	27619	114018
39	28343	113373
40	29034	112597
41	29710	111769
42	30428	111098
43	31112	110308
44	31783	109475
45	32458	108664
46	33116	107806
47	33805	107050
48	34477	106247
49	35151	105455
50	35821	104654
51	36470	103800
52	37178	103116
53	37969	102658
54	38660	101923
55	39373	101246
56	40158	100747
57	40885	100098
58	41613	99448
59	42297	98695
60	42992	97967
61	43688	97241
62	44380	96510
63	45076	95787
64	45773	95067
65	46469	94346
66	47158	93613
67	47855	92896
68	48552	92180
69	49260	91483
70	49946	90747
71	50631	90010
72	51382	89391
73	52125	88754
74	52836	88060
75	53501	87291
76	54222	86615
77	54951	85949
78	55649	85235
79	56360	84540
80	57059	83827
81	57697	83027
82	58385	82301
83	59034	81524
84	59738	80822
85	60431	80107
86	61083	79338
87	61865	78738
88	62557	78020
89	63269	77329
90	63955	76606
91	64627	75867
92	65296	75125
93	65973	74395
94	66725	73749
95	67476	73099
96	68149	72365
97	68898	71710
98	69587	70992
99	70269	70269
100	70998	69592
101	71683	68872
102	72378	68162
103	73134	67508
104	73833	66801
105	74532	66095
106	75205	65365
107	75872	64631
108	76578	63932
109	77316	63258
110	78045	62577
111	78700	61836
112	79420	61146
113	80179	60486
114	80948	59831
115	81737	59189
116	82486	58515
117	83397	57954
118	84196	57310
119	84967	56645
120	85743	55981
121	86582	55356
122	87419	54725
123	88286	54111
124	89144	53486
125	89970	52839
126	90769	52174
127	91546	51494
128	92338	50822
129	93122	50142
130	93894	49455
131	94730	48800
132	95569	48143
133	96406	47483
134	97241	46819
135	98030	46132
136	98858	45460
137	99705	44795
138	100526	44116
139	101305	43416
140	102071	42710
141	102987	42065
142	103799	41374
143	104553	40659
144	105343	39957
145	106147	39259
146	106947	38559
147	107774	37866
148	108567	37160
149	109384	36461
150	110165	35749
151	110948	35036
152	111738	34324
153	112447	33588
154	113195	32863
155	113987	32150
156	114716	31419
157	115453	30690
158	116128	29945
159	116848	29212
160	117546	28473
161	118252	27738
162	118973	27006
163	119691	26273
164	120437	25547
165	121169	24817
166	121933	24094
167	122658	23363
168	123397	22635
169	124230	21923
170	124991	21197
171	125729	20467
172	126496	19742
173	127248	19014
174	127986	18283
175	128742	17555
176	129465	16823
177	130197	16091
178	130960	15364
179	131685	14631
180	132424	13900
181	133212	13174
182	133952	12443
183	134727	11715
184	135481	10985
185	136230	10253
186	136975	9522
187	137747	8792
188	138477	8059
189	139195	7326
190	139916	6592
191	140784	5866
192	141562	5134
193	142338	4402
194	143062	3668
195	143802	2934
196	144531	2200
197	145293	1467
198	146045	733
199	146756	0
