iter	Logloss	F1	Accuracy
0	0.5647692718	0.963484526	0.93868573
1	0.4524689238	0.9668635171	0.9444597195
2	0.3456270054	0.9768595041	0.9615067363
3	0.2887486566	0.9776674938	0.9628814957
4	0.2421460891	0.978041935	0.9634313995
5	0.1921419674	0.9803143093	0.9672807259
6	0.1667018678	0.9819506541	0.9700302447
7	0.1461752861	0.9839057574	0.9733296673
8	0.1238079344	0.9861965741	0.9771789937
9	0.1069322745	0.9868486765	0.9782788012
10	0.0919432496	0.9891576314	0.9821281276
11	0.08229051627	0.9896528705	0.9829529832
12	0.07241102421	0.9934662423	0.9892768765
13	0.06189905298	0.9949647533	0.9917514435
14	0.05466062089	0.9951301427	0.9920263954
15	0.04910374253	0.9959663866	0.9934011548
16	0.04400597544	0.996804037	0.9947759142
17	0.03975201049	0.9971394918	0.995325818
18	0.03785052588	0.9978140239	0.9964256255
19	0.03481539056	0.9979811575	0.9967005774
20	0.03377583417	0.9979811575	0.9967005774
21	0.03048813021	0.9983176312	0.9972504812
22	0.02941235038	0.998317065	0.9972504812
23	0.02802255852	0.9984856133	0.997525433
24	0.02660455381	0.9988217472	0.9980753368
25	0.02636564859	0.9988217472	0.9980753368
26	0.02523897466	0.9991583908	0.9986252406
27	0.02380953075	0.9993265993	0.9989001925
28	0.0230410224	0.9993265993	0.9989001925
29	0.02190499753	0.9994948645	0.9991751443
30	0.0205708666	0.9994948645	0.9991751443
31	0.01978167309	0.9994948645	0.9991751443
32	0.01922559643	0.9993265993	0.9989001925
33	0.01775920467	0.9993265993	0.9989001925
34	0.01721910418	0.9996631863	0.9994500962
35	0.01714227121	0.9996631863	0.9994500962
36	0.01631522296	0.9996631863	0.9994500962
37	0.01583772964	0.9996631863	0.9994500962
38	0.01523455742	0.9996631863	0.9994500962
39	0.01438737541	0.9996631863	0.9994500962
40	0.01421869387	0.9996631863	0.9994500962
41	0.01398388993	0.9996631863	0.9994500962
42	0.01356357637	0.9998316215	0.9997250481
43	0.01318173387	0.9998316215	0.9997250481
44	0.01297823635	0.9998316215	0.9997250481
45	0.01257518072	0.9998316215	0.9997250481
46	0.01245574909	1	1
47	0.01190183947	1	1
48	0.01146041044	1	1
49	0.01123741913	1	1
50	0.01081021214	1	1
51	0.01021644049	1	1
52	0.01000922311	1	1
53	0.009780981701	1	1
54	0.009617101063	1	1
55	0.009546668294	1	1
56	0.009166471523	1	1
57	0.00868922712	1	1
58	0.008480496806	1	1
59	0.008378506582	1	1
60	0.008298461097	1	1
61	0.007828662519	1	1
62	0.007531600677	1	1
63	0.007429468299	1	1
64	0.007225074359	1	1
65	0.007094871201	1	1
66	0.007094849932	1	1
67	0.00707129625	1	1
68	0.006946243527	1	1
69	0.00675582865	1	1
70	0.006665183668	1	1
71	0.006375253324	1	1
72	0.006077933763	1	1
73	0.005851080769	1	1
74	0.005716883476	1	1
75	0.005507430687	1	1
76	0.005402604493	1	1
77	0.005402604493	1	1
78	0.00531729681	1	1
79	0.005281905998	1	1
80	0.005175185076	1	1
81	0.005091319199	1	1
82	0.005036971478	1	1
83	0.004969705567	1	1
84	0.00479387303	1	1
85	0.00475954777	1	1
86	0.00461374899	1	1
87	0.004577746806	1	1
88	0.004478374672	1	1
89	0.004397457562	1	1
90	0.004341368581	1	1
91	0.004229402539	1	1
92	0.00411324647	1	1
93	0.004062429934	1	1
94	0.003923223762	1	1
95	0.003756769999	1	1
96	0.003663243946	1	1
97	0.003640270563	1	1
98	0.003540921433	1	1
99	0.003438118776	1	1
100	0.0033780391	1	1
101	0.003304525954	1	1
102	0.00319071265	1	1
103	0.003190675117	1	1
104	0.00311452323	1	1
105	0.003050721791	1	1
106	0.003050702307	1	1
107	0.003050656599	1	1
108	0.003050603199	1	1
109	0.002993939551	1	1
110	0.002953193239	1	1
111	0.002901458524	1	1
112	0.002901423842	1	1
113	0.002805004807	1	1
114	0.002767203993	1	1
115	0.002728083565	1	1
116	0.002728083565	1	1
117	0.002660779304	1	1
118	0.002660765504	1	1
119	0.002626267796	1	1
120	0.002574778505	1	1
121	0.002574737759	1	1
122	0.002574718804	1	1
123	0.002563492881	1	1
124	0.002563486185	1	1
125	0.002563468392	1	1
126	0.002563432819	1	1
127	0.002563428374	1	1
128	0.002527023967	1	1
129	0.002527005087	1	1
130	0.002526987614	1	1
131	0.002526917519	1	1
132	0.002526900011	1	1
133	0.002526890632	1	1
134	0.002526886256	1	1
135	0.002526867502	1	1
136	0.002526848751	1	1
137	0.002526830005	1	1
138	0.002526811264	1	1
139	0.002465252234	1	1
140	0.002465193746	1	1
141	0.002465157589	1	1
142	0.002465119892	1	1
143	0.002465117635	1	1
144	0.002465115378	1	1
145	0.002465110668	1	1
146	0.002465108411	1	1
147	0.002465086029	1	1
148	0.002454480733	1	1
149	0.00245446956	1	1
150	0.002413646984	1	1
151	0.002368134536	1	1
152	0.00236808382	1	1
153	0.002368014581	1	1
154	0.00236798952	1	1
155	0.002367983399	1	1
156	0.002367964101	1	1
157	0.00232321817	1	1
158	0.002251694299	1	1
159	0.002191980946	1	1
160	0.00219194995	1	1
161	0.002191919234	1	1
162	0.002191887654	1	1
163	0.00219186649	1	1
164	0.002153548907	1	1
165	0.002153542415	1	1
166	0.002153526402	1	1
167	0.0021535224	1	1
168	0.002153505485	1	1
169	0.002153488576	1	1
170	0.002153484791	1	1
171	0.0021499963	1	1
172	0.002149969413	1	1
173	0.00214993596	1	1
174	0.002149917535	1	1
175	0.00214991578	1	1
176	0.002149913735	1	1
177	0.00214991169	1	1
178	0.002149909936	1	1
179	0.002149907891	1	1
180	0.002149906137	1	1
181	0.002149904047	1	1
182	0.002149887693	1	1
183	0.002149871345	1	1
184	0.002149704499	1	1
185	0.00214957126	1	1
186	0.002149564271	1	1
187	0.002142888214	1	1
188	0.00214287161	1	1
189	0.002142870607	1	1
190	0.002142844084	1	1
191	0.002142844084	1	1
192	0.002142829369	1	1
193	0.002139638705	1	1
194	0.002139624367	1	1
195	0.002139610036	1	1
196	0.002139606817	1	1
197	0.002139545803	1	1
198	0.002139363265	1	1
199	0.002139351896	1	1
