STMN1,SOX4,TGFBI,TSPAN7,S100A13,LYN,SMARCD1,SSBP2,JADE3,CTSG,NPY,PF4,NAALADL1,SPP1,IRX5,DNTT,ZNF423,TRAF3IP2,ABCC6,ADA,LPAR6,SEMA4C,target
7.50272,8.15603,10.6069,3.48766,7.67505,10.8405,6.60423,8.23479,6.55154,3.62731,4.29246,7.61246,6.00881,3.95997,3.28626,5.29002,4.10578,6.8674,5.53949,8.30483,9.86051,7.60227,0
8.90073766821779,10.853113361168,7.08847295157844,6.85630032909589,7.87297797623687,5.93345901307654,7.4651253440489,7.80499463623352,6.0370099661196,8.64377239194366,9.09477884075224,7.36689383760763,5.85945858170225,4.92660418533993,5.30411272687657,11.4849319951765,7.09721718682156,9.52029520900649,6.2413122700179,9.55651583115107,5.43960444917656,7.46168848787648,1
10.5009,12.197,5.43969,9.52603,6.96411,6.11219,7.92963,11.2119,7.12268,6.02087,11.4613,5.06857,4.69458,5.88346,6.10275,13.4409,9.86279,9.81225,4.14459,11.3708,11.2639,5.57004,1
9.22757,12.2874,5.56721,8.64941,9.83976,7.31935,7.86143,9.92866,6.92806,5.94875,11.1658,4.49176,4.72769,4.45583,4.52185,13.0963,8.28173,9.84902,4.28538,10.6864,10.9078,5.78637,1
9.57610679895692,11.5579175747281,6.58605971101646,6.14020997794559,8.36294155646037,5.92298843591658,7.70309893103447,7.81641855386718,5.3441635505894,7.27888185226046,10.792883891413,7.68436133429642,5.61411357527961,4.81058369686787,5.07548075804395,10.6977030441565,7.45813231187021,10.1004739316746,6.19659740949468,9.12827619340403,7.08111439450364,7.09913299010089,1
5.35283,9.22822,10.9044,4.61052,6.29153,11.3857,6.41169,7.29938,4.34248,5.15056,4.4142,11.3976,5.07191,3.67816,3.81152,4.63967,3.89037,6.99555,5.10174,6.77703,9.06903,6.68056,0
8.32404415731014,10.7819887643104,7.10287795209355,7.51694104375558,7.90239099687515,6.34753135266451,8.47187354794909,8.48860237257802,5.42030245537617,7.27652849405357,10.7494705904118,7.3847641935537,5.53040297933548,5.59158995589747,5.18775011355524,10.6113362663132,6.85771776333446,8.95901377618276,5.80004086213594,9.30478885867439,8.60863262971614,7.09433278395703,1
8.73505,11.7641,4.74235,7.59959,9.89444,9.09563,7.78911,9.9817,5.97431,5.20241,4.74394,6.12106,6.10348,9.59449,5.19579,13.0004,9.09001,9.28268,3.8811,10.9937,11.6264,5.99056,1
10.8696,13.0574,5.17201,10.2341,6.52089,7.90318,7.91952,10.024,5.61015,8.88177,4.48561,6.67141,3.97196,4.18915,8.8265,13.0377,11.8184,10.0884,4.17847,12.6348,12.0166,5.60922,1
8.4845,11.7872,5.55342,7.18271,9.44086,7.78411,7.66125,10.6837,5.61968,5.83047,5.38473,6.71609,5.11128,7.65177,5.41391,12.4927,9.52351,9.89846,4.28921,10.9095,10.7595,5.97252,1
