CCL5,TGFBI,PRAME,APOC4-APOC2,WT1,GP1BB,FLT3,ASAH1,TRBV21-1,AKTIP,DEPTOR,C3orf14,CXorf57,PCDH9,target
6.81293987196404,6.557979580401911,6.9913359389721,8.47707959454074,6.16120880375006,6.1913122273589885,10.611511295154099,8.2436299076465,5.61574982068654,6.533510892116669,7.72546921225887,4.52205842307389,4.5930250168093485,5.996041787521468,1
6.81015880805022,9.65462775314222,6.97996778545763,7.12486509827048,4.85892547522232,6.36504812711518,9.15417602047989,9.053023299688473,5.31208041291049,7.582441833243982,5.51427381980944,4.765326789174178,4.41998996234465,5.78422470908437,1
7.74166,7.36282,6.4537,7.49697,3.91432,5.64821,9.93014,9.44433,4.00842,6.43125,8.43259,3.67362,4.9496400000000005,5.312,1
1432.9456527774698,915.898010475825,4.43302572462358,48.3199850106826,103.580167516656,83.70113352252491,6516.63720238439,6123.319318993311,0.95658438311457,145.19652131875299,1824.06201015724,2.4737068659441097,9.22705210920301,55.6495666215335,1
8.25745,6.17447,9.6868,7.33685,8.2795,7.09532,9.03037,8.08799,4.08409,6.04996,10.419,3.75663,3.78674,4.28875,1
12.0812,6.56676,4.91522,5.92079,7.0168300000000015,7.467219999999998,7.80658,9.18986,4.23289,6.02399,6.79142,4.79433,4.85263,7.13133,1
9.34208,5.44128,5.33884,8.31889,9.21608,6.67374,8.6211,8.14846,4.0617800000000015,5.07718,6.8956800000000005,3.47948,3.76759,5.44038,1
11.5991,11.1051,4.41155,5.83114,3.09571,8.84097,5.4969800000000015,9.48368,4.89379,7.45374,5.25921,7.25022,7.60861,5.05995,0
9.70826,10.2353,4.28825,5.1630699999999985,3.27881,8.72729,5.8185,8.04845,4.71592,6.87304,4.3406400000000005,5.79633,6.738289999999999,5.98557,0
10.7688,9.80517,4.2913,6.07544,3.14843,6.10827,4.67232,10.7618,4.87849,7.91136,4.334,5.84105,6.436,8.25658,0
8.35724186293028,8.11008254522018,6.17134695151014,8.70109514769292,5.2192505223926915,8.438391340126469,9.58716833919642,9.31037291500532,5.11588924570008,6.38438457898565,7.2390155490159716,4.66327292908455,4.302141056171831,6.22625409730934,1
5.63247331422884,6.980958106476519,5.9642543858132,7.59938163227916,7.11006513676257,5.93018022560891,9.89260544266207,7.72981097818248,5.7939040150791215,5.95863226805046,7.7676884643415,4.81183528930648,4.5687403167178,6.7637279492132,1
6.40115,5.68626,4.81452,8.09775,7.8566600000000015,5.0286,9.62367,8.36609,4.43619,5.4341300000000015,5.23383,3.61439,3.7556,4.81882,1
10.4451,5.772480000000002,4.48541,10.2,3.34126,4.65758,11.4171,9.44943,4.37482,5.05817,7.91915,6.11693,4.69366,4.7538300000000016,1
10.3767,7.90877,4.07397,10.3396,4.27407,6.04429,9.72802,8.319289999999999,4.55828,5.61865,5.35184,4.34492,4.15903,4.80828,1
9.83115,9.2002,6.37472,5.9414099999999985,6.85458,6.8638,11.4931,9.10864,4.20785,5.5434,10.49,3.75418,3.5159,5.24613,1
10.4872,5.91247,4.96426,7.67908,4.93091,6.49262,5.5818699999999986,8.63555,4.50561,6.92572,4.90796,4.51133,6.1786400000000015,4.65353,1
10.1197,5.34231,4.21082,7.41102,9.72613,4.4463,10.7357,9.06851,3.73786,5.37879,8.30294,3.5547,3.55325,9.46314,1
728.8051418811418,11508.491607572,0.858832347484312,2.8068417738284097,23.397622879527894,6.8532364521568505,8209.707002084091,21887.774967550402,0.91376486028758,275.092433941825,157.030883344355,1.1814877652168798,12.087736049883402,57.1863108376878,1
6.8999400705915415,7.15731690001826,5.99954149487254,7.28520219370936,6.435598432477139,6.3211259326850495,9.932660347453188,8.48006755574545,5.58139836245411,6.82259236451014,8.35808412946526,5.012116429505941,4.82082310740702,6.01094030404999,1
7.26543,5.46481,4.14614,7.4597,8.39633,5.89109,10.2825,8.3602,3.93894,5.06887,7.68306,3.85216,3.78779,6.5122800000000005,1
9.30658,7.96663,4.8639199999999985,9.15047,4.5717,7.88667,6.76209,8.19011,4.34586,4.737419999999998,8.68058,3.69079,3.52977,4.30104,1
7.84721,6.32228,4.5648,8.99615,4.31944,4.79782,11.1458,11.1243,3.69487,6.76155,6.81026,3.25667,3.79994,4.03787,1
9.83044,7.89929,6.70602,8.649339999999999,7.0341,7.28459,7.11525,9.8818,3.85372,5.52824,5.72746,4.17282,4.45343,4.25796,1
9.32221,5.50232,4.38115,8.21354,6.42255,7.323739999999999,8.00849,8.21425,4.05499,4.87581,8.51735,3.48412,4.6531400000000005,4.91891,1
12.4307,11.7813,4.46933,5.62619,3.5258,5.740480000000002,7.57458,10.9064,5.08062,7.53308,5.16834,7.5956899999999985,5.22389,5.8604400000000005,0
10.7509,5.58136,7.65955,8.49487,7.34231,6.890439999999999,10.8677,8.997010000000003,3.98845,5.42285,7.36775,3.97462,3.89698,4.5865,1
5.13177,10.6464,4.01985,7.69843,5.36376,5.62332,9.97531,9.56156,3.7761,5.1261800000000015,7.463789999999999,3.9797,3.83941,4.49493,1
9.75669,5.23496,5.14205,8.84142,8.12492,7.161739999999999,7.6341199999999985,9.90204,4.07258,4.51131,5.49442,3.61283,3.72191,4.58196,1
8.35775774373894,5.97958279069344,6.18648947373176,8.21242038328604,6.9756871742082405,6.695592260816031,10.679352786215803,8.69406900529495,5.38818283288151,6.009510725996631,8.16255940901527,4.46614473100595,4.36497041442733,6.02465193975685,1
8.87819,5.91514,4.07024,6.40869,5.90206,6.47596,5.69944,6.10047,3.89772,4.69974,7.77111,3.74273,4.0776,4.2613900000000005,1
7.9736699999999985,5.82846,8.96744,9.70857,6.77913,6.06102,10.0729,8.93396,4.19735,5.06906,9.54203,3.16808,4.15686,10.7941,1
1625.8994943039402,8.35795844466979,1.77359845370027,14.0296747325654,1396.7275676169,0.0,13688.0456787008,7216.86683285673,0.8119730164053679,135.861705783423,490.88474911032006,1.93792249886762,45.669480971816995,303.16564755254905,1
6.76519,5.7636699999999985,4.9989300000000005,6.935980000000002,4.89913,4.2316,7.222289999999999,8.603439999999999,4.41302,6.7031399999999985,4.4641199999999985,4.09615,7.1238,4.55166,1
306.386656637975,7.23491187743772,8.676306670467731,6.0969389656672295,665.7779611335591,0.0,17596.4661009477,3654.87399967575,0.934048515325335,247.312379921878,589.150862856068,1.56323899103237,6.66539798846176,2743.55779666602,1
8.52862833430328,7.234983647869838,7.0809983062538695,8.47328717388872,6.225068921007769,8.03740555719574,9.51605230386008,9.40059129395188,5.52590828038829,6.573336025537992,8.89208525728773,4.43076198613899,4.27226730127242,5.8908051227066895,1
10.5842,6.57223,4.65115,8.964080000000003,4.2856,10.3857,7.790019999999998,6.27196,4.6151300000000015,4.30272,6.0570900000000005,3.7011,3.74048,4.68237,1
10.8964,9.89226,4.35934,6.13566,3.70739,7.0214300000000005,4.8593,10.9287,4.92395,7.759810000000001,5.12448,4.89764,5.45669,6.859380000000002,0
7.154983739019389,10.3452578952441,7.599022807957361,6.8580736965952385,6.64613634196766,7.690450536676461,10.3388034696422,9.1123335272041,5.4774166854331305,6.85175757953534,9.08983809412931,4.4317460082278295,4.15690741194201,5.43549661279966,1
2967.47970428192,2379.98179174033,0.0,1.13153159634558,0.0,104.61682773677099,201.27110399314705,8280.42937869793,81.0412045848226,2044.99155839,39.225652401989,14.7961913219861,946.4895929397728,401.013485816018,0
10.0769,6.821110000000001,4.59081,6.32354,4.45178,6.5311,6.921869999999998,8.09402,3.8853,5.83807,6.832889999999999,6.454,6.019,7.79428,1
9.20643,6.86008,5.0587,6.94095,6.53362,5.82953,10.0826,9.72368,3.90591,4.96022,8.47377,6.72093,3.5087,12.0938,1
7.7553,7.537960000000001,6.8460600000000005,6.98981,9.04291,7.821269999999998,9.77246,8.35693,4.04046,4.97583,6.9684300000000015,3.70335,4.0244,4.04117,1
11.6504,11.459,4.054130000000002,5.56415,3.26571,7.77822,6.97782,10.7068,4.94113,7.6807,4.79885,7.0738699999999985,5.3708800000000005,6.18398,0
9.49804339389943,7.4155112257709,6.6150478602915,8.90203009041132,7.70499807970833,7.707376979172309,9.12463426097975,9.57737088747133,5.313275015006769,6.45235845110963,7.67768731919178,4.76082046630767,4.41370483353895,6.959023919537,1
9.36853721042641,7.128638520950509,6.08393308228524,8.66614219600514,6.0439835252316785,7.32090811238806,9.497868804225991,8.38336231819594,5.29878688689216,6.42846710732939,7.8433551016082514,4.86031966054976,4.6088764627164505,6.01097497351934,1
8.17045,5.16852,5.003819999999998,8.418510000000001,8.12923,6.30202,9.67848,8.62548,3.69202,5.11038,6.440180000000002,4.01296,4.2824,5.294969999999998,1
7.38904,8.58174,4.19762,6.89507,6.9402,5.53866,10.6404,10.5542,3.76664,6.42961,8.005980000000001,3.57655,3.66591,3.89609,1
5.57859013718488,6.535020806803451,5.55402412361925,7.113366699054461,7.36607741185831,5.82103673214127,10.153025485313599,6.965736102639379,5.45086502665174,6.23947841862107,6.68064682107808,4.80946514017174,4.33376046470749,6.7917058672365584,1
8.49325,7.236910000000001,5.09292,6.18434,4.88116,4.8747300000000005,10.2148,8.407589999999999,4.270569999999998,4.73695,9.97238,3.93109,4.06415,4.92945,1
8.47943593071239,6.074822540206308,9.08904423779604,9.6899239688906,7.570924051558008,8.48194236694342,8.2972309551028,7.84689111567976,5.5060467156091,6.061260928045829,7.570356022206888,4.696989369043321,4.56247480657899,6.13286490813167,1
270.731228994617,86.1142145759092,1145.6421978357598,205.89198511816898,814.45938096521,0.0,11992.1803916926,6493.59340952401,1.12676081151651,442.900697551097,903.384406349487,1.10390874186921,19.2218845494188,21307.6784154084,1
8.755560000000001,10.6069,3.60799,5.1710699999999985,2.78856,5.731330000000002,5.42572,8.44718,4.20518,7.395739999999999,3.96844,4.81091,6.0408300000000015,6.07267,0
308.39929736223996,89.5457685162661,2378.0614278877897,711.13394627942,1272.21237127951,0.0,11948.6911354005,4744.6735974312705,1.24464259199168,268.022272938728,646.961651268957,3.7550572805234,7.57171691502049,24.083718188291698,1
6.89513,4.99132,3.90425,8.0583,7.558110000000001,5.6001400000000015,11.128,9.44707,3.69869,5.01154,7.16032,3.71181,3.77188,4.3967800000000015,1
12.3027,10.9208,4.4202900000000005,4.776669999999998,3.28999,5.954,6.10135,10.2861,6.14423,8.173689999999999,5.35332,6.78945,5.754569999999998,5.9286699999999986,0
