CCL5,TGFBI,PRAME,APOC4-APOC2,WT1,GP1BB,FLT3,ASAH1,TRBV21-1,AKTIP,DEPTOR,C3orf14,CXorf57,PCDH9,target
9.77201,8.02418,5.27724,6.32616,3.77505,7.90332,6.46807,9.82273,4.45143,6.8098100000000015,5.06553,3.96027,4.11409,4.83905,1
12.0725,11.071,4.09611,5.780480000000002,3.15814,8.41496,6.517,10.4138,5.1677300000000015,7.50453,5.22797,6.83189,6.21347,6.89841,0
9.55874,8.81052,4.98473,7.73987,5.471430000000002,4.69487,8.3257,10.269,4.9295300000000015,4.731330000000002,5.21496,4.5168300000000015,4.53042,5.05126,1
6.9500899999999985,5.3891,4.44439,8.655489999999999,8.927769999999997,6.6253600000000015,10.2331,9.2789,4.15401,5.64205,7.78931,3.42627,3.50889,4.51923,1
8.06742,5.67549,8.8306,7.5918800000000015,6.70107,4.98227,9.3813,8.2742,4.89165,5.2972199999999985,8.049539999999999,4.19119,3.94496,4.89383,1
12.3522,7.72002,5.14072,7.630789999999998,5.69448,5.69944,9.96427,9.7353,4.08557,4.92671,6.894430000000002,3.81356,3.91264,5.32113,1
10.8506,9.69007,4.69336,6.29741,3.56875,7.58028,5.59282,9.05639,4.50387,6.99879,4.5643400000000005,4.94686,4.25479,6.09879,0
8.58187,8.0316,6.12294,6.25991,6.960189999999999,6.0835300000000005,7.400060000000001,9.03694,4.0144,6.70817,9.14221,4.43286,3.87304,5.30851,1
9.12443,6.2083,5.86057,7.807760000000001,4.28341,5.32068,10.798,10.7878,4.13842,5.10594,6.613410000000001,3.50916,3.68589,4.72849,1
7.0872052972694695,7.02332074571097,6.17137971220125,8.188696163019541,6.4748535074765,6.66768456659802,9.83025292251296,7.3555164995725715,6.22134703267861,6.9555064875754296,7.52138600964182,4.93301298222819,4.78930883942479,7.090806471939559,1
7.73508,5.61294,8.33589,6.57137,4.59565,5.92976,7.451980000000002,5.94163,4.20222,4.3179,9.80398,4.31696,3.53157,4.4520300000000015,1
