CCL5,RCN1,TRAFD1,APOC4-APOC2,TFF3,FPR1,FAM50B,GP1BB,EDIL3,GPR171,MAML3,ASAH1,TBC1D9B,ALDH1A1,LCN2,COL4A5,CDC42BPA,CHRM3,HBBP1,TRBV21-1,GOLM1,BZW2,DSG2,AKTIP,DNAAF5,TIMM22,C3orf14,CXorf57,SLC27A5,PCDH9,NUDT11,VPREB3,PDZRN4,CLIC4P1,SH3BP4,target
6.81293987196404,7.65461877430155,7.61180523899745,8.47707959454074,6.840148248928712,7.61649294973718,7.02351983667481,6.1913122273589885,4.8530338005634,5.240128991082389,5.93152685192789,8.2436299076465,9.37870014253708,4.50853377813805,6.432089883925282,6.802020596081389,4.5140643891788494,6.14290871928963,5.53632484125771,5.61574982068654,5.638388892349732,10.651558509225401,4.8760967133619815,6.533510892116669,8.618177223984691,6.97293806865445,4.52205842307389,4.5930250168093485,7.428149188141509,5.9960417875214675,7.0070879735427996,6.004374637564089,4.35505218233435,6.3546196843535485,5.55800230751221,1
6.81015880805022,7.1239518986722805,7.69651023122888,7.12486509827048,6.49809396424664,11.2062065958417,6.94531083708805,6.3650481271151795,4.54414708376095,5.4415960562939105,5.58511602289555,9.053023299688473,9.27938056197168,4.1460289743147,6.39997492972343,4.16761211045883,4.38541103142679,5.526325066251959,5.30256842088477,5.31208041291049,8.18002163955149,9.02402276321104,5.4417676607738,7.5824418332439825,8.21255324249754,6.07382332091445,4.7653267891741775,4.41998996234465,6.54640813920614,5.78422470908437,6.87184671912623,5.7141816976280095,4.10295604878575,9.21078914137192,4.70229676903971,1
7.74166,7.75294,7.10135,7.49697,5.92105,8.45785,6.2736300000000025,5.64821,3.6203800000000004,5.23911,7.68708,9.44433,9.13672,4.0445699999999984,9.3073,4.24098,7.94833,3.29789,4.0399199999999995,4.00842,8.40623,10.6699,7.28061,6.43125,8.21097,5.64034,3.6736199999999997,4.9496400000000005,6.32169,5.312,6.60478,4.5183300000000015,3.5067699999999995,6.9119800000000025,4.9149,1
1432.9456527774698,2004.15645762318,703.3314976837061,48.3199850106826,5.3470360011145495,68.66635732404839,120.63008646975,83.70113352252491,1.44457534548873,10.566463088799999,1404.6838654659198,6123.319318993311,5953.6160858467,58.3131387507114,141.151822731589,49.3753106451168,8.58800788448053,6.470025332965549,8.21239181848503,0.95658438311457,217.98380493352403,3566.9439759648108,5.030254144825519,145.19652131875299,474.44118406327004,471.117808683926,2.4737068659441097,9.22705210920301,907.168403855742,55.6495666215335,3.82633753245828,10.4242264745038,2.13859815649059,0.0,5.6023891520031786,1
8.25745,7.79749,7.55187,7.33685,5.64415,7.47607,6.46036,7.09532,5.72631,6.3274,7.7994600000000025,8.08799,8.39807,3.7107300000000003,6.49383,3.06353,3.9343,3.35324,3.7551300000000003,4.08409,7.3338899999999985,10.4214,4.09364,6.04996,8.20181,7.5202399999999985,3.7566300000000004,3.78674,6.25861,4.28875,4.2340800000000005,5.45024,2.94746,6.338369999999999,4.61144,1
12.0812,6.49264,7.4279800000000025,5.92079,5.94987,7.9958100000000005,6.31709,7.4672199999999975,3.4055400000000002,6.8921800000000015,6.25937,9.189860000000001,8.58191,7.83157,10.4019,5.75269,8.214319999999999,3.68466,8.165389999999999,4.23289,4.90146,10.3055,5.13513,6.02399,8.3091,7.66772,4.79433,4.85263,5.8571,7.13133,5.5802,5.31378,3.17328,7.545910000000001,4.73705,1
9.342080000000001,8.239139999999999,7.46432,8.31889,5.186,5.94635,6.2747699999999975,6.67374,3.22496,4.3638900000000005,6.86115,8.14846,8.76361,3.7192,5.66535,8.435089999999999,3.8669,3.36266,4.32218,4.0617800000000015,4.3926099999999995,11.1847,4.07451,5.07718,7.7672399999999975,6.6345800000000015,3.47948,3.76759,6.6897699999999976,5.44038,4.30221,4.63624,2.93043,8.19716,8.136989999999999,1
11.5991,7.0645,8.57724,5.83114,5.4473400000000005,11.2261,7.45783,8.84097,3.6273800000000014,10.2459,7.1833300000000015,9.48368,8.67769,7.25882,6.16628,3.26009,4.87735,3.3323,3.84761,4.89379,5.4526699999999995,9.88439,4.04402,7.45374,8.24975,7.05545,7.25022,7.6086100000000005,6.4788,5.05995,5.06036,6.47872,3.13634,5.73525,5.12329,0
9.708260000000001,8.83049,8.94259,5.163069999999999,5.37245,9.66578,6.6915,8.72729,2.72118,9.54006,7.7168100000000015,8.04845,8.25581,7.6780399999999975,6.90712,2.78954,4.33272,4.0275099999999995,3.7220199999999997,4.71592,6.52199,10.4802,4.08729,6.87304,7.538760000000001,8.16925,5.79633,6.738289999999999,5.98694,5.98557,6.01509,5.83092,3.08054,6.28418,6.07792,0
10.7688,6.31029,7.67173,6.07544,5.73955,11.605,7.0807899999999995,6.10827,2.89222,10.043,6.27886,10.7618,7.677869999999999,6.7313,7.383139999999999,2.89341,4.42898,3.44176,4.74207,4.87849,5.5480199999999975,8.95394,3.7382400000000002,7.91136,7.24805,7.008189999999999,5.84105,6.436,5.7576199999999975,8.25658,4.56335,7.49615,2.8951599999999997,6.23326,4.7972800000000015,0
