STMN1,SDCBP,CST3,SOX4,TGFBI,AEBP1,TSPAN7,RER1,IFI27,S100A13,LYN,DBN1,CD93,SIRPA,SMARCD1,SSBP2,MPO,P2RX4,JADE3,BCHE,MEOX1,CTSG,EREG,ADAM28,NPY,RHAG,PF4,APMAP,CEACAM8,CCR2,DEFA4,MMP8,NAALADL1,S100A11P1,PSMA6,THY1,SLC1A5,CES1P1,SPP1,SEC31B,GABPAP,IRX5,DNTT,IGHV3-23,ATP6V0A1,GPS2,GYPB,ZNF423,ADAM10,TRAF3IP2,ABCC6,ADA,ENAH,LPAR6,TMEM106B,DPPA4,CD244,ARPP21,VRTN,FOXRED2,ASTE1,SEMA4C,target
7.50272,11.9023,7.2213,8.15603,10.6069,7.39234,3.48766,9.82346,4.82365,7.67505,10.8405,7.06733,10.9725,9.57084,6.60423,8.23479,4.03087,7.32135,6.55154,2.7456,4.92404,3.62731,6.3258,8.96978,4.29246,2.72438,7.61246,9.58492,7.35148,9.22022,5.94056,5.39855,6.00881,7.04652,10.5914,4.99899,5.34006,8.10254,3.95997,9.04047,5.81764,3.28626,5.29002,6.76535,6.87411,10.7186,4.64522,4.10578,7.09084,6.8674,5.53949,8.30483,4.85778,9.86051,8.02099,4.8936,9.31568,4.1973,5.95234,6.10196,7.62521,7.60227,0
8.90073766821779,8.55902799674196,7.70700821681624,10.853113361168,7.08847295157844,8.09326158526557,6.85630032909589,7.82801983635331,9.87810491962115,7.87297797623687,5.93345901307654,8.22175028347998,8.96530011873952,7.53970700134667,7.4651253440489,7.80499463623352,9.75068128538717,7.71491640726285,6.0370099661196,4.10609348264804,4.3569307808646,8.64377239194366,4.15519288403691,5.92163724199981,9.09477884075224,6.25410566106795,7.36689383760763,9.57967644603768,8.67726106169442,7.32412767465017,8.00112870734054,9.10281074091927,5.85945858170225,7.57592160494282,12.1118966706467,6.65719811809978,8.71840528446642,6.83417575347808,4.92660418533993,7.69143739964156,6.9205588079571,5.30411272687657,11.4849319951765,9.23083288027628,8.46361242716056,8.78686649058828,9.56008634317578,7.09721718682156,6.61541057185396,9.52029520900649,6.2413122700179,9.55651583115107,4.98281083714103,5.43960444917656,5.37629735447137,4.51234606178119,6.84311418165383,4.66136613631949,6.71386088553052,6.9901514812303,7.13589622837302,7.46168848787648,1
10.5009,9.61364,5.87324,12.197,5.43969,9.67758,9.52603,8.43129,6.93983,6.96411,6.11219,10.2033,9.49042,8.32516,7.92963,11.2119,5.37142,7.19184,7.12268,2.83222,3.83419,6.02087,3.67369,4.47024,11.4613,5.09111,5.06857,8.4273,4.75048,4.18072,7.37904,5.22865,4.69458,5.43976,13.2383,5.50305,6.70403,4.54796,5.88346,7.85956,6.25124,6.10275,13.4409,5.25195,6.09024,7.7886,6.34003,9.86279,7.4574,9.81225,4.14459,11.3708,7.52506,11.2639,7.73752,3.09072,5.63496,11.2922,5.41518,7.61606,6.45118,5.57004,1
9.22757,10.3819,5.12334,12.2874,5.56721,7.79923,8.64941,6.92273,12.416,9.83976,7.31935,9.16245,6.36327,5.66506,7.86143,9.92866,4.22608,7.7154,6.92806,2.98125,4.54373,5.94875,3.45976,5.44928,11.1658,3.45381,4.49176,8.14454,3.79131,3.48476,5.16254,4.31331,4.72769,5.52988,12.055,5.90429,7.05945,5.26177,4.45583,7.30394,8.37375,4.52185,13.0963,6.04578,6.98573,9.72268,5.15526,8.28173,7.66211,9.84902,4.28538,10.6864,6.48674,10.9078,6.54181,3.25073,5.07143,8.44361,5.73438,5.66313,5.80117,5.78637,1
9.57610679895692,6.6779146311979,5.53502781465348,11.5579175747281,6.58605971101646,8.11938077603414,6.14020997794559,6.71823548254729,6.10584043681058,8.36294155646037,5.92298843591658,7.99047146826081,6.39607782192037,6.6396829650963,7.70309893103447,7.81641855386718,6.17755684054988,7.54127972810188,5.3441635505894,4.1875809153904,4.41416610060317,7.27888185226046,4.17440258246032,5.50591697179653,10.792883891413,4.45397249394455,7.68436133429642,7.07647896823557,4.70920165859851,5.66559580107729,6.93321709754934,5.81962868279244,5.61411357527961,6.21196860908323,12.0484934629329,6.93431262420496,8.44421643018437,6.54476319699715,4.81058369686787,7.65036415349913,7.36329810958865,5.07548075804395,10.6977030441565,10.7722442270131,8.15869449447373,10.7373623555529,6.52427772827946,7.45813231187021,5.13165545934156,10.1004739316746,6.19659740949468,9.12827619340403,4.75611243811304,7.08111439450364,4.80037009284474,4.41033384584549,6.84606549684552,5.95128438138623,7.18748029313242,6.85775702091448,6.51828966524356,7.09913299010089,1
5.35283,13.0416,11.5571,9.22822,10.9044,5.77876,4.61052,8.96171,5.16609,6.29153,11.3857,6.16037,11.7118,10.4561,6.41169,7.29938,5.24955,8.78282,4.34248,2.92983,4.23303,5.15056,5.78571,6.9252,4.4142,3.43888,11.3976,10.8292,8.07162,11.5056,7.09654,9.94443,5.07191,11.3403,11.2475,5.48161,6.63876,9.25538,3.67816,6.65425,6.35913,3.81152,4.63967,5.75883,8.27987,8.02925,7.5947,3.89037,9.10806,6.99555,5.10174,6.77703,3.93246,9.06903,7.29778,3.31779,7.8163,3.7715,5.9594,5.91293,6.72533,6.68056,0
8.32404415731014,8.69831342521993,6.10915848642885,10.7819887643104,7.10287795209355,7.3121547452519,7.51694104375558,6.9036720152775,6.51837671018092,7.90239099687515,6.34753135266451,8.45631654655618,7.25993826098796,6.84785423619302,8.47187354794909,8.48860237257802,9.6365262390034,7.40582531533229,5.42030245537617,4.18014562703081,4.26845559357697,7.27652849405357,4.33474309354159,5.12054755543677,10.7494705904118,4.96224678479847,7.3847641935537,8.53577940862212,5.13822498627872,5.81162666784798,7.6840523920359,6.59492268125002,5.53040297933548,6.7140098378226,11.3497108580138,6.47080464607991,8.22846796915205,6.39744104156623,5.59158995589747,7.82520651401495,6.36295001155372,5.18775011355524,10.6113362663132,7.50844495823109,7.52454655148178,8.39663821463748,6.89541386543852,6.85771776333446,5.50546189655909,8.95901377618276,5.80004086213594,9.30478885867439,6.08120380782302,8.60863262971614,4.71939321683696,4.71093105376416,6.60403736000691,4.59263236544939,6.49028417406599,6.93032537968335,6.59754563681455,7.09433278395703,1
8.73505,6.04509,7.48445,11.7641,4.74235,7.56129,7.59959,8.45749,6.20387,9.89444,9.09563,9.24773,7.36997,5.50339,7.78911,9.9817,10.394,6.78493,5.97431,3.00917,4.91582,5.20241,3.64318,4.16758,4.74394,3.95835,6.12106,8.63442,3.29525,5.23282,4.91647,4.44852,6.10348,5.85738,12.2872,5.93356,6.98093,5.43812,9.59449,7.58321,6.36685,5.19579,13.0004,6.78975,8.00966,9.62766,5.99959,9.09001,6.61274,9.28268,3.8811,10.9937,7.87367,11.6264,6.66541,3.1067,4.87249,4.16916,6.49217,6.33865,5.23603,5.99056,1
10.8696,10.5652,8.33122,13.0574,5.17201,9.42482,10.2341,8.00293,4.75444,6.52089,7.90318,9.41927,9.11456,5.19357,7.91952,10.024,7.07089,7.93477,5.61015,7.57364,4.34661,8.88177,5.90501,3.99755,4.48561,3.66641,6.67141,8.72358,8.2662,4.50649,10.0387,8.75405,3.97196,8.18598,12.7599,5.64331,6.83125,5.81559,4.18915,9.25365,6.95092,8.8265,13.0377,5.79189,6.8864,7.45842,5.7124,11.8184,6.09451,10.0884,4.17847,12.6348,4.35711,12.0166,8.7425,3.11744,6.40571,9.79751,5.95172,7.05299,6.74032,5.60922,1
8.4845,6.92593,6.44627,11.7872,5.55342,10.2594,7.18271,8.49711,5.36539,9.44086,7.78411,9.07762,8.01604,6.00232,7.66125,10.6837,8.80085,7.75392,5.61968,2.86517,5.05461,5.83047,4.31712,4.74409,5.38473,5.6958,6.71609,8.30005,4.18934,3.81347,5.85609,4.29926,5.11128,5.55574,12.6908,5.63437,7.41188,5.23647,7.65177,7.2455,6.33379,5.41391,12.4927,5.94128,6.91314,9.97546,6.72428,9.52351,6.11064,9.89846,4.28921,10.9095,7.28414,10.7595,6.01023,3.53668,6.14148,4.18748,6.69894,6.55848,5.38975,5.97252,1
