CCL5,HLA-E,RCN1,TGFBI,MYBL2,CD14,NUP214,COMMD3-BMI1,FNDC3A,EPS8,LIG1,TRAFD1,IGF1R,PRAME,P2RX4,APOC1,APOC4-APOC2,TFF3,FPR1,HOXB6,FAM50B,WT1,CCR7,GP1BB,FLT3,EDIL3,GPR171,MAML3,GLRX,STK16,CDKN2A,ASAH1,FN1,TBC1D9B,ALDH1A1,LCN2,OLFM4,COL4A5,CDC42BPA,GPR65,CHRM3,HOXA1,TRAV8-3,HBBP1,TRBV21-1,GOLM1,BZW2,DSG2,DCTN4,AKTIP,DNAAF5,LPAR6,PACSIN3,SMYD3,DEPTOR,TIMM22,C3orf14,CXorf57,SLC27A5,PCDH9,NUDT11,VPREB3,PDZRN4,SPX,VPREB1,CDCA8,GDF15,CLIC4P1,SH3BP4,TCL1A,target
6.81293987196404,9.58554124732049,7.65461877430155,6.557979580401911,7.83799686260433,7.268469458330411,8.953377457778199,7.860361930680718,7.25125524578467,4.450672842405691,8.50552592877847,7.61180523899745,5.61561415653974,6.9913359389721,8.35913305877586,6.68159219692181,8.47707959454074,6.8401482489287115,7.61649294973718,8.64051272869683,7.02351983667481,6.16120880375006,6.37098965612648,6.1913122273589885,10.611511295154099,4.8530338005634,5.240128991082389,5.93152685192789,8.43153797410758,6.599729328995039,7.76217082749743,8.2436299076465,5.7631920070105185,9.37870014253708,4.50853377813805,6.432089883925282,4.03883622343789,6.802020596081389,4.5140643891788494,5.6611380460444405,6.14290871928963,6.15911051512428,5.26994111155159,5.53632484125771,5.61574982068654,5.638388892349732,10.651558509225401,4.8760967133619815,7.46855188572181,6.533510892116669,8.618177223984691,5.07113281803454,5.96359980760051,9.29367822416037,7.72546921225887,6.97293806865445,4.52205842307389,4.5930250168093485,7.428149188141509,5.996041787521468,7.0070879735428,6.004374637564089,4.35505218233435,7.260694918436531,4.4784361612572,7.521901101905509,5.81873084235208,6.3546196843535485,5.55800230751221,6.7974469807529285,1
6.81015880805022,9.99002890298265,7.1239518986722805,9.65462775314222,7.36021754690392,13.104125383259802,9.206944432021212,7.25012894753182,6.259661610491111,4.14477244781158,7.617775808014962,7.69651023122888,6.07015932298051,6.97996778545763,9.70999481388443,6.306971000223942,7.12486509827048,6.49809396424664,11.2062065958417,5.0307707943126605,6.94531083708805,4.85892547522232,7.41624742689161,6.36504812711518,9.15417602047989,4.54414708376095,5.441596056293911,5.58511602289555,9.34530844498656,5.9892405052489295,6.405260146350501,9.053023299688473,5.49363373394909,9.27938056197168,4.1460289743147,6.39997492972343,3.9553773510618697,4.16761211045883,4.38541103142679,8.5812870186076,5.5263250662519585,4.63973296733038,4.9045260512321205,5.30256842088477,5.31208041291049,8.18002163955149,9.02402276321104,5.4417676607738,7.1308339517231385,7.582441833243982,8.21255324249754,4.78687517435293,5.72204771686435,6.75177691250421,5.51427381980944,6.07382332091445,4.765326789174178,4.41998996234465,6.54640813920614,5.78422470908437,6.87184671912623,5.7141816976280095,4.10295604878575,6.67296644156204,5.69552660181579,6.40040639188848,5.3270318272172,9.21078914137192,4.70229676903971,6.70968246131003,1
7.74166,10.7074,7.75294,7.36282,7.22695,7.92295,9.58628,9.88711,8.3537,8.76794,7.801539999999998,7.10135,8.33745,6.4537,6.83207,6.35585,7.49697,5.92105,8.45785,8.67014,6.273630000000002,3.91432,6.9394800000000005,5.64821,9.93014,3.62038,5.23911,7.68708,10.4507,7.0937100000000015,7.4092699999999985,9.44433,3.55067,9.13672,4.0445699999999984,9.3073,10.2885,4.24098,7.94833,8.299760000000001,3.29789,4.05278,4.32709,4.03992,4.00842,8.40623,10.6699,7.28061,6.6570100000000005,6.43125,8.21097,7.018510000000001,4.48409,10.9019,8.43259,5.64034,3.67362,4.9496400000000005,6.32169,5.312,6.60478,4.5183300000000015,3.5067699999999995,3.33839,4.15433,7.10505,4.86554,6.911980000000002,4.9149,4.56992,1
1432.9456527774698,32362.9583652211,2004.15645762318,915.898010475825,953.6737027341652,134.61938501592502,4582.54827141259,278.399363629569,2819.75290661195,202.45196845850103,3297.14527166133,703.3314976837061,1157.4699356035,4.43302572462358,2767.1632042269703,88.4632389909215,48.3199850106826,5.3470360011145495,68.66635732404839,5.938640300875798,120.63008646975,103.580167516656,79.1390647743419,83.70113352252491,6516.63720238439,1.44457534548873,10.566463088799999,1404.6838654659198,812.166472840349,629.1262608215429,463.762929460963,6123.319318993311,167.93699173786,5953.6160858467,58.3131387507114,141.151822731589,32.5238690258954,49.3753106451168,8.58800788448053,335.76111847321397,6.470025332965549,0.529715602889595,1.43487657467186,8.21239181848503,0.95658438311457,217.98380493352403,3566.9439759648108,5.030254144825519,2321.51350675703,145.19652131875299,474.44118406327004,893.188961478255,31.841760310598307,1730.9343222963098,1824.06201015724,471.117808683926,2.4737068659441097,9.22705210920301,907.168403855742,55.6495666215335,3.82633753245828,10.4242264745038,2.13859815649059,2.12581113187494,644.969324367489,467.221734667325,10.5561321092682,0.0,5.6023891520031786,41.4586388749091,1
8.25745,10.3413,7.79749,6.17447,6.90675,7.508739999999999,7.8757100000000015,11.0205,8.913860000000003,6.8244,7.1300300000000005,7.55187,7.35492,9.6868,8.49886,4.9725800000000016,7.33685,5.64415,7.47607,4.03174,6.46036,8.2795,5.1648,7.09532,9.03037,5.72631,6.3274,7.799460000000002,7.35648,5.84929,5.70101,8.08799,3.63073,8.39807,3.71073,6.49383,4.80773,3.06353,3.9343,7.2046,3.35324,5.15468,4.44528,3.75513,4.08409,7.3338899999999985,10.4214,4.09364,6.44454,6.04996,8.20181,8.82669,4.508780000000002,10.2956,10.419,7.5202399999999985,3.75663,3.78674,6.25861,4.28875,4.2340800000000005,5.45024,2.94746,3.05431,4.6028,6.720269999999998,5.0602,6.3383699999999985,4.61144,4.84551,1
12.0812,10.7857,6.49264,6.56676,8.15927,5.88069,8.03571,9.96671,7.73377,4.1624,7.75778,7.427980000000002,6.75427,4.91522,7.791530000000002,7.36378,5.92079,5.94987,7.99581,3.94197,6.31709,7.0168300000000015,8.66237,7.467219999999998,7.80658,3.40554,6.8921800000000015,6.25937,9.34687,5.4067300000000005,6.15019,9.18986,3.27892,8.58191,7.83157,10.4019,7.387739999999999,5.75269,8.214319999999999,9.30991,3.68466,5.17957,4.5770800000000005,8.165389999999999,4.23289,4.90146,10.3055,5.13513,7.006939999999998,6.02399,8.3091,6.8670100000000005,4.56479,7.55042,6.79142,7.66772,4.79433,4.85263,5.8571,7.13133,5.5802,5.31378,3.17328,3.780580000000001,4.55995,8.44158,8.33071,7.545910000000001,4.73705,4.97291,1
9.34208,10.5456,8.239139999999999,5.44128,8.50031,4.81337,8.230830000000001,9.92328,8.63101,4.59359,7.60814,7.46432,4.48773,5.33884,8.06628,5.90236,8.31889,5.186,5.94635,8.429680000000001,6.274769999999998,9.21608,4.73906,6.67374,8.6211,3.22496,4.3638900000000005,6.86115,7.35185,5.64699,7.2945600000000015,8.14846,3.51746,8.76361,3.7192,5.66535,3.17535,8.435089999999999,3.8669,4.9415,3.36266,6.7512300000000005,4.5839,4.32218,4.0617800000000015,4.39261,11.1847,4.07451,7.6467,5.07718,7.767239999999998,4.33663,4.947,9.66296,6.8956800000000005,6.6345800000000015,3.47948,3.76759,6.689769999999998,5.44038,4.30221,4.63624,2.93043,3.24502,4.14116,6.7122899999999985,5.10921,8.19716,8.136989999999999,4.871,1
11.5991,11.9392,7.0645,11.1051,6.24345,11.9219,9.76218,9.72399,8.349269999999999,6.19997,7.70029,8.57724,7.4022,4.41155,7.81832,5.45943,5.83114,5.4473400000000005,11.2261,4.58395,7.45783,3.09571,10.1064,8.84097,5.4969800000000015,3.627380000000001,10.2459,7.1833300000000015,10.3585,7.02565,5.823919999999998,9.48368,3.5224,8.67769,7.25882,6.16628,3.28845,3.26009,4.87735,10.6675,3.3323,5.5761699999999985,5.426819999999998,3.84761,4.89379,5.45267,9.88439,4.04402,6.50148,7.45374,8.24975,10.8169,4.73837,7.67175,5.25921,7.05545,7.25022,7.60861,6.4788,5.05995,5.06036,6.47872,3.13634,6.66047,4.41675,6.0555,4.51035,5.73525,5.12329,8.41576,0
9.70826,12.0745,8.83049,10.2353,5.58865,8.78716,10.3876,10.1938,9.08881,5.66758,7.80957,8.94259,8.36737,4.28825,6.82365,5.0984,5.1630699999999985,5.37245,9.66578,3.72011,6.6915,3.27881,8.3847,8.72729,5.8185,2.72118,9.54006,7.7168100000000015,9.22782,6.4907,5.242000000000001,8.04845,3.39249,8.25581,7.678039999999998,6.90712,3.0481700000000003,2.78954,4.33272,10.0138,4.02751,5.66702,4.8037,3.72202,4.71592,6.52199,10.4802,4.08729,6.2564199999999985,6.87304,7.538760000000001,9.04091,4.56075,7.19555,4.3406400000000005,8.16925,5.79633,6.738289999999999,5.98694,5.98557,6.01509,5.83092,3.08054,6.97179,4.22492,4.67818,5.03241,6.28418,6.07792,8.085180000000001,0
10.7688,11.8629,6.31029,9.80517,6.44459,10.6689,9.45934,9.8037,8.6832,5.49869,7.2732,7.67173,8.0767,4.2913,8.29343,5.28693,6.07544,5.73955,11.605,4.20747,7.08079,3.14843,10.5768,6.10827,4.67232,2.89222,10.043,6.27886,10.3415,6.88248,5.3095,10.7618,3.19522,7.677869999999999,6.7313,7.383139999999999,4.6138900000000005,2.89341,4.42898,10.5456,3.44176,4.58927,5.95289,4.74207,4.87849,5.548019999999998,8.95394,3.73824,6.79275,7.91136,7.24805,10.8699,4.0058,6.816319999999998,4.334,7.008189999999999,5.84105,6.436,5.757619999999998,8.25658,4.56335,7.49615,2.89516,3.49847,4.40236,5.6363400000000015,4.5137800000000015,6.23326,4.7972800000000015,9.25382,0
