RPL10P9,HADHB,CDIPT,SGTA,SPEN,UNC119B,GCC2,GNG11,TRIM16,AOC3,MAFG,CSF2RB,BMP6,ANXA11,CLC,CD70,AANAT,UBN1,SEPT5,BOLA2B,HNF1A,SBF1,PKN2,SP3,TRAF3IP3,GLG1,PCM1,SCFD1,KIR3DL3,PIGG,ZNF768,YIPF2,LRRFIP1,EDEM3,EXD3,LSG1,CDC14B,TAF1D,CCDC28B,target
13.373,10.0164,10.7439,6.50985,9.48258,8.67262,8.296,7.604,4.77383,5.87505,6.95483,12.219,5.0650900000000005,9.38064,11.1564,6.26384,4.24758,10.8629,6.01483,7.3902,3.9838,8.041210000000001,9.90053,8.198960000000001,8.640460000000001,8.6455,5.01585,4.90951,6.749860000000001,8.516539999999999,5.71726,4.16301,9.60217,9.44838,5.95666,7.1142,5.72342,9.50699,6.188,0
13.550999999999998,10.6732,10.198,6.62167,8.428410000000001,8.846860000000003,8.36233,11.4144,5.36992,3.58534,6.8175,10.1758,5.99147,8.737160000000001,9.86191,6.700080000000002,4.0740300000000005,9.61977,6.7610600000000005,8.95185,3.88081,7.00002,7.878539999999999,9.72916,6.53918,9.2821,6.9451399999999985,4.92592,6.18159,7.27308,5.8045800000000005,4.8235,6.742839999999998,8.24708,5.6424,7.61718,7.67005,10.0136,6.47046,0
13.4247,10.3606,10.1755,7.30358,7.97284,8.4941,6.90158,8.58376,6.39064,5.00065,8.40001,9.73147,5.14803,8.53909,11.8138,6.62522,3.969430000000001,9.36097,7.08817,9.54086,3.66356,6.9946199999999985,7.22587,8.52292,5.87435,8.80452,5.50811,4.06423,5.5715900000000005,8.16822,6.74085,5.1538,8.74133,6.94013,5.76918,7.352489999999999,6.88594,8.94317,7.22048,0
13.503,9.73401,10.4694,6.37544,8.56891,8.617980000000001,8.76135,10.8698,5.58397,4.66403,6.52196,11.9779,5.67558,8.47751,12.536,6.30321,4.29796,9.07974,6.75232,8.53495,4.15393,5.90195,9.63777,8.89334,7.50939,7.9939399999999985,4.8506300000000016,4.62059,5.95673,8.31789,6.20932,5.21093,8.13557,9.24584,5.6127699999999985,6.53666,5.68003,8.81189,6.02039,0
13.5269,10.1861,9.9263,6.556780000000002,7.23995,7.9393600000000015,8.96143,9.6358,5.1612300000000015,4.21546,6.59672,10.4189,5.21713,7.71501,10.8582,6.23532,3.51447,6.78022,6.692069999999998,8.47595,4.00145,5.6332,8.4418,8.56746,8.304030000000001,8.68013,5.22464,4.74385,6.47321,8.09559,5.44581,4.40512,9.05056,8.81247,5.78746,7.112539999999999,6.4961,9.31945,6.41809,0
13.4879,10.3725,9.95472,7.23608,8.82335,8.5945,8.78327,11.0705,6.37475,3.70132,7.5064600000000015,9.92788,6.064769999999998,8.553519999999999,8.577539999999999,6.50385,3.30683,10.0103,6.7557,8.99806,4.23599,8.45282,8.189739999999999,10.0955,8.06129,9.36899,6.98693,4.20528,6.559989999999999,7.9875,5.886830000000002,5.21804,7.26283,7.62351,5.62512,7.97496,7.617939999999999,10.0668,6.52613,0
13.541,10.184,9.91504,6.13434,9.00641,7.99574,9.18954,11.2567,4.7246,3.81333,6.64498,11.1516,6.8906399999999985,8.00035,10.9487,6.09138,3.4729400000000004,8.67783,5.83724,8.49935,3.93101,6.6775600000000015,8.15038,9.29725,7.594689999999999,8.90361,6.23291,5.57222,8.598230000000001,8.724,4.67141,4.25703,8.77196,9.09098,5.48648,7.34854,7.7286800000000015,9.5398,5.99349,0
13.4152,10.4605,9.75471,7.3113899999999985,8.44947,8.560260000000001,8.06894,7.7810000000000015,7.6440199999999985,4.8802900000000005,8.5142,8.96455,4.80097,8.405560000000001,12.1711,6.69165,3.79308,10.2207,7.30404,9.38816,3.99678,5.98105,7.97866,10.1287,4.2370199999999985,6.83562,7.45968,4.81127,5.04343,7.44667,6.60681,5.38438,5.83743,7.60018,6.17352,7.55952,5.84258,10.0032,7.27635,0
12.8868,9.10358,10.678,7.49308,8.51026,7.717289999999998,7.925560000000001,9.24563,5.6677,4.5488800000000005,7.14479,10.2342,5.7307,8.55856,8.61613,6.7111100000000015,4.67076,10.2433,7.441619999999999,7.4031,4.28172,7.336189999999998,9.23552,6.28169,6.64289,9.28114,4.7771300000000005,4.71284,6.2756300000000005,7.38225,6.06429,5.54296,8.79004,8.667910000000001,6.39614,7.45477,5.36132,8.026,6.3987300000000005,0
13.3808,9.72065,10.512,7.14357,9.19033,8.43535,8.13509,9.04332,5.92511,4.13785,6.946039999999999,11.6224,5.22652,8.8503,11.1154,6.41829,4.14538,9.92655,6.989489999999999,8.4693,3.93395,7.06158,9.15564,7.76722,7.97905,9.14556,4.86808,5.45191,6.24545,7.9464,5.88746,4.96413,9.19722,9.01932,6.19481,7.209289999999998,5.17196,9.90537,6.105580000000002,0
13.3408107849773,2594.66651025282,1828.1779860071601,1125.8983373221402,7807.096182211659,1263.99479755926,2367.74648911578,1413.01420897551,208.56078643513698,23.7936047159856,827.7422424440759,4753.82265055486,302.391711126152,5344.2228022547,456.9227693854729,22.8589012571745,75.9574133163415,2620.49560359138,690.146172950246,154.561416714026,2.09882122407302,8170.720690120941,2282.37647925324,3847.7722001952093,12450.817683388701,7803.32140340495,3824.17264649332,1160.06053013615,6.67040539248865,2617.76035904441,427.095088835151,542.263942323066,7583.15666725875,2753.21202329654,387.357559385433,1516.47611952616,369.348443466272,3175.56364037977,276.15412402218897,0
13.5912,10.6973,10.1076,6.745710000000001,8.65227,8.29613,8.52217,8.41611,5.57347,3.7128,7.05041,10.3103,4.84189,8.94915,9.71833,6.600789999999999,3.63485,9.78668,6.83599,9.17186,3.94755,6.947310000000001,8.31462,9.88935,6.36115,9.49238,6.89993,4.8754,6.27874,7.020689999999999,5.90719,4.63811,7.1615,8.44703,5.79214,7.717219999999998,7.29454,10.0094,6.337280000000002,0
13.4272,9.81147,10.6309,6.9226,7.6157,8.15364,9.27238,10.300999999999998,5.1814800000000005,5.33101,6.82361,11.4502,6.740289999999999,8.44852,8.44392,6.1581800000000015,4.19382,8.94629,6.86751,7.891610000000001,4.17655,6.6040100000000015,9.47885,8.38976,6.823689999999999,7.9666,5.37822,4.6299,6.0417,8.37167,6.27109,5.470269999999998,8.68264,9.18386,6.12289,6.62321,5.6574800000000005,8.45146,6.7187100000000015,0
13.1944,9.34377,7.93317,6.1006800000000005,8.66924,8.76788,9.18801,8.6552,6.769360000000002,3.03638,6.48464,10.171,4.89023,8.79872,10.1904,5.7029,3.51787,7.866,6.47001,8.69813,4.48431,9.37091,9.19325,8.651539999999999,8.9989,10.4988,6.13815,5.50349,6.2426,8.11835,6.13365,4.647,7.10497,8.18012,5.37045,7.7957100000000015,5.90816,10.9554,5.27042,0
13.6226,9.9838,9.73574,6.63695,8.588410000000001,8.11257,8.942639999999997,11.2151,4.93636,3.89388,6.4603,9.47365,5.88286,8.06377,7.8943699999999986,6.53678,3.5982199999999995,8.395589999999999,6.70017,8.49836,3.93871,7.35226,8.78275,8.02626,9.65337,8.88803,5.50251,4.72536,6.63134,8.402000000000001,5.59657,4.67681,9.28753,8.84298,5.61656,7.16208,6.63513,9.29854,6.78114,0
13.6046,10.553,10.1592,6.4483,8.36783,8.48992,8.34494,10.9174,5.5532900000000005,3.62797,7.04398,10.4038,6.44833,8.64145,10.5944,6.42403,3.4955300000000005,9.55873,6.6387,9.18505,4.16931,6.94446,8.42897,9.50882,7.47622,9.35213,7.08338,5.4701,5.8307699999999985,7.35495,6.13357,4.4903900000000005,7.58385,8.310089999999999,6.10927,7.7031100000000015,7.43803,10.0475,6.29521,0
13.4903,9.93046,9.71515,6.50547,7.46805,8.019810000000001,8.350530000000001,11.263,5.4158800000000005,4.04445,5.62678,9.08912,6.34965,8.00987,8.85978,7.0655199999999985,3.87364,7.913189999999998,6.07872,8.88627,3.5597300000000005,6.4783,7.15763,9.49334,6.92517,8.57135,4.55054,4.21767,6.8765399999999985,7.7107100000000015,5.48612,4.44041,6.84997,8.52432,5.12977,6.8483800000000015,7.2759399999999985,8.678980000000001,6.17635,1
13.5126,10.2711,9.88314,6.93337,7.6234,8.05719,8.827630000000003,11.652,6.13799,4.3334800000000016,7.68717,10.5156,6.2149,7.89572,7.48343,6.65614,4.03199,8.89207,6.65335,9.39445,4.1835900000000015,7.961760000000001,7.63638,9.92737,7.53958,9.49203,5.82613,4.38592,6.792789999999999,8.15583,6.24217,5.30408,8.41775,7.4550100000000015,5.89291,6.82855,7.723089999999999,9.66414,6.91162,0
13.6101,10.5806,10.1635,6.746339999999999,8.528830000000001,8.65573,8.42517,10.8783,5.42725,3.69727,6.7740100000000005,10.5028,6.38531,8.70792,10.7812,6.45009,3.80889,9.41241,7.024780000000002,9.22548,4.05583,6.996689999999999,8.30861,9.69091,6.902939999999999,9.38368,6.84058,4.63171,6.06704,7.22315,5.49512,4.68869,6.6021899999999984,8.33872,6.19032,7.728110000000001,7.90437,10.0736,6.36042,0
12.9709,9.74499,10.8181,7.21736,9.82504,8.37776,8.0312,7.9396,5.20736,5.58845,7.13007,12.0785,5.32394,9.49042,9.43302,7.1097800000000015,4.47492,11.2818,7.07028,7.13618,4.19153,7.244460000000001,9.47764,6.986089999999999,7.30353,8.70438,5.22066,4.98294,6.28787,8.111239999999999,5.40254,5.00151,9.78838,8.57208,5.98991,6.80845,5.60481,9.0058,6.0445400000000005,0
13.5695,10.3225,9.90652,7.1829,7.76018,8.60928,8.704939999999999,9.87436,6.562760000000001,3.78185,7.1485699999999985,9.68673,5.3484,8.409880000000001,6.98088,6.78125,3.55731,9.60868,6.8617300000000006,9.32703,4.136419999999998,8.44553,7.93832,9.87778,8.40591,9.81985,6.00059,3.88492,7.712919999999999,8.185210000000001,6.40618,4.68365,7.44303,7.23545,5.7055,7.91098,7.06392,9.925,6.4868,0
13.3571,10.2261,9.95627,7.14934,8.3586,8.770430000000001,8.03423,7.212339999999998,6.0468199999999985,5.19123,8.61622,9.88546,5.09351,8.64746,11.9736,6.51767,3.53975,9.7758,6.84987,9.05759,4.05981,7.27014,8.76042,8.53733,6.77812,8.7,6.43211,4.9286,6.19761,8.44918,6.84231,5.02707,8.98048,8.34559,5.8114,7.275519999999998,7.042960000000001,9.89069,6.864139999999999,0
13.2598,9.49227,10.759,7.571110000000001,6.57889,8.34929,8.69294,9.63136,5.65942,5.2424,6.654889999999999,11.3216,5.5359,8.42946,11.1134,6.4132,4.73104,8.48345,7.2024300000000006,7.54011,4.35701,6.573360000000001,8.8782,7.788489999999999,6.78338,8.06443,5.1577199999999985,3.97338,5.96899,7.6243,6.773910000000001,5.52893,7.93173,8.42337,6.377680000000002,6.6103,4.88102,7.928160000000001,6.22462,0
13.5424,10.7731,10.0451,6.6753800000000005,8.87365,8.42181,8.4784,10.8079,5.09727,3.73406,6.81358,10.491,5.43617,8.87093,10.3853,6.28982,3.81565,9.77969,6.52913,8.84807,4.0183300000000015,7.353910000000001,8.71217,9.67926,7.70229,9.63176,7.28717,5.04971,6.44035,7.26725,5.74812,4.50442,7.3235,8.62438,6.04996,7.828710000000001,7.45086,10.3242,6.42025,0
