WARS,SDCBP,CST3,COL3A1,RER1,MATN2,IFI27,DBN1,C1QB,SMARCD1,JADE3,MEOX1,EREG,PF4,APMAP,DEFA4,CRISP3,NAALADL1,S100A11P1,ANXA2P2,CES1P1,SEC31B,GABPAP,IRX5,ATP6V0A1,GPS2,GYPB,TRAF3IP2,ABCC6,SCNN1A,ENAH,MED28,TMEM106B,DPPA4,L2HGDH,VRTN,FOXRED2,ASTE1,SEMA4C,PRR5,target
8.73955,11.9023,7.2213,4.030869999999999,9.82346,3.98274,4.82365,7.06733,3.7775800000000004,6.60423,6.55154,4.92404,6.3258,7.6124600000000004,9.58492,5.94056,5.1549,6.0088099999999995,7.04652,9.125689999999999,8.10254,9.04047,5.81764,3.28626,6.874110000000001,10.7186,4.64522,6.8674,5.53949,5.37704,4.85778,8.5996,8.02099,4.8936,4.38911,5.95234,6.10196,7.625210000000001,7.60227,7.88635,0
7.923596271563469,8.55902799674196,7.707008216816241,5.3198954863965895,7.82801983635331,4.27635300084763,9.878104919621151,8.221750283479981,5.91298061573475,7.465125344048901,6.0370099661196,4.3569307808646,4.15519288403691,7.36689383760763,9.57967644603768,8.00112870734054,5.537513440905499,5.85945858170225,7.57592160494282,8.63943066464294,6.83417575347808,7.6914373996415595,6.9205588079571,5.30411272687657,8.46361242716056,8.78686649058828,9.56008634317578,9.520295209006491,6.2413122700179,6.41899453913423,4.98281083714103,7.1416773375687095,5.37629735447137,4.512346061781191,5.0920550163742595,6.7138608855305195,6.990151481230299,7.13589622837302,7.461688487876481,8.02567967617984,1
7.7481,9.61364,5.87324,4.08399,8.431289999999999,3.25656,6.939830000000001,10.2033,4.0540199999999995,7.92963,7.12268,3.83419,3.67369,5.068569999999999,8.4273,7.37904,3.6692199999999997,4.69458,5.43976,7.473139999999999,4.54796,7.859560000000001,6.25124,6.10275,6.0902400000000005,7.7886,6.3400300000000005,9.81225,4.14459,5.49999,7.525060000000001,6.88797,7.73752,3.09072,5.14228,5.41518,7.616060000000001,6.45118,5.5700400000000005,7.4858,1
6.56623,10.3819,5.12334,4.31038,6.9227300000000005,3.2896900000000002,12.415999999999999,9.16245,4.38788,7.86143,6.92806,4.54373,3.4597599999999997,4.49176,8.14454,5.16254,3.19807,4.72769,5.52988,9.082180000000001,5.261769999999999,7.303939999999999,8.37375,4.52185,6.98573,9.72268,5.15526,9.84902,4.28538,5.77937,6.48674,7.952539999999999,6.54181,3.25073,5.21213,5.734380000000001,5.663130000000001,5.80117,5.78637,5.53201,1
7.8381646074579,6.6779146311979005,5.53502781465348,5.6978998915304695,6.71823548254729,4.1883474921950095,6.10584043681058,7.990471468260809,5.800498073848799,7.70309893103447,5.344163550589401,4.41416610060317,4.17440258246032,7.68436133429642,7.07647896823557,6.933217097549339,4.06640132764462,5.61411357527961,6.211968609083231,9.062118434945882,6.54476319699715,7.65036415349913,7.3632981095886505,5.07548075804395,8.15869449447373,10.7373623555529,6.5242777282794595,10.1004739316746,6.1965974094946805,6.6689595123233305,4.75611243811304,8.27031288796943,4.80037009284474,4.41033384584549,4.75482889561779,7.1874802931324195,6.85775702091448,6.51828966524356,7.099132990100889,7.652182257560719,1
8.88522,13.0416,11.5571,4.1343,8.96171,3.13397,5.1660900000000005,6.1603699999999995,5.21478,6.41169,4.34248,4.23303,5.78571,11.3976,10.8292,7.096539999999999,7.50288,5.07191,11.3403,10.5687,9.25538,6.65425,6.35913,3.81152,8.279869999999999,8.02925,7.5947,6.99555,5.10174,5.66022,3.93246,7.22357,7.29778,3.31779,4.845330000000001,5.9594,5.91293,6.7253300000000005,6.680560000000001,6.3846300000000005,0
7.26833570146792,8.69831342521993,6.10915848642885,5.56676816623919,6.9036720152775,4.3374407676245,6.51837671018092,8.45631654655618,6.4161466385908605,8.47187354794909,5.42030245537617,4.26845559357697,4.33474309354159,7.384764193553701,8.53577940862212,7.6840523920359,4.0281287027705,5.530402979335481,6.7140098378226,8.93172533002152,6.39744104156623,7.825206514014949,6.36295001155372,5.18775011355524,7.52454655148178,8.39663821463748,6.8954138654385195,8.95901377618276,5.8000408621359405,6.062323662315039,6.081203807823019,7.31621517579896,4.71939321683696,4.710931053764161,4.9358081554821505,6.49028417406599,6.9303253796833495,6.59754563681455,7.0943327839570305,7.52991200111851,1
8.34915,6.04509,7.48445,4.9166300000000005,8.45749,3.2307099999999997,6.203869999999999,9.24773,4.50179,7.789110000000001,5.97431,4.91582,3.64318,6.12106,8.63442,4.9164699999999995,3.58649,6.10348,5.85738,9.23473,5.43812,7.58321,6.36685,5.195790000000001,8.00966,9.62766,5.99959,9.282680000000001,3.8811,6.54188,7.87367,5.56545,6.6654100000000005,3.1067,5.83584,6.49217,6.33865,5.23603,5.990559999999999,6.1898,1
8.13729,10.5652,8.33122,4.45913,8.002930000000001,3.2713,4.75444,9.41927,4.07481,7.9195199999999994,5.61015,4.34661,5.90501,6.671410000000001,8.72358,10.0387,7.02274,3.9719599999999997,8.18598,9.84008,5.81559,9.25365,6.95092,8.8265,6.8864,7.458419999999999,5.7124,10.0884,4.17847,5.78099,4.35711,6.8058,8.7425,3.11744,5.00381,5.95172,7.052989999999999,6.74032,5.60922,9.28636,1
7.221760000000001,6.92593,6.446269999999999,4.91249,8.497110000000001,2.82896,5.3653900000000005,9.07762,4.42276,7.66125,5.619680000000001,5.05461,4.31712,6.7160899999999994,8.30005,5.85609,3.26507,5.111280000000001,5.55574,8.22989,5.23647,7.2455,6.3337900000000005,5.41391,6.913139999999999,9.97546,6.72428,9.89846,4.28921,6.49432,7.28414,5.4397400000000005,6.01023,3.5366800000000005,5.62275,6.6989399999999995,6.55848,5.38975,5.972519999999999,6.20679,1
