CCL5,RCN1,TGFBI,MYBL2,CD14,NUP214,COMMD3-BMI1,EPS8,TRAFD1,IGF1R,PRAME,APOC4-APOC2,FPR1,HOXB6,FAM50B,WT1,GP1BB,FLT3,CDKN2A,ASAH1,TBC1D9B,ALDH1A1,LCN2,COL4A5,CDC42BPA,GPR65,HOXA1,HBBP1,TRBV21-1,GOLM1,AKTIP,DNAAF5,LPAR6,DEPTOR,C3orf14,CXorf57,SLC27A5,PCDH9,NUDT11,VPREB3,SH3BP4,TCL1A,target
9.77201,6.588610000000001,8.02418,9.09346,7.791930000000002,8.810839999999997,8.982619999999997,5.07421,7.487039999999999,7.63012,5.27724,6.32616,9.64856,7.50259,6.19347,3.77505,7.90332,6.46807,6.8139,9.82273,8.77542,5.63267,11.3734,4.51053,5.65077,7.932360000000001,4.33857,6.93734,4.45143,6.5168,6.8098100000000015,7.152660000000001,6.58143,5.06553,3.96027,4.11409,6.7565800000000005,4.83905,4.80011,5.886419999999998,4.6007,5.08627,1
12.0725,7.03503,11.071,6.72783,11.7539,9.32465,9.75298,5.21177,8.233319999999999,7.71822,4.09611,5.780480000000002,9.93575,3.83049,6.642010000000001,3.15814,8.41496,6.517,5.7534800000000015,10.4138,8.644160000000001,7.890910000000001,8.280380000000001,2.86592,3.83705,10.7164,5.50256,3.71644,5.1677300000000015,5.66432,7.50453,8.00908,10.1395,5.22797,6.83189,6.21347,5.86172,6.89841,4.4595400000000005,7.45109,5.4227,9.8466,0
9.55874,6.770510000000002,8.81052,6.781460000000001,11.044,9.005419999999997,8.91291,6.03792,6.758310000000002,4.72529,4.98473,7.73987,10.1756,8.86994,5.8163,5.471430000000002,4.69487,8.3257,6.7916300000000005,10.269,8.44168,4.01179,4.89423,3.77085,3.92973,8.77326,7.25794,4.69309,4.9295300000000015,6.242380000000002,4.731330000000002,6.31157,9.26271,5.21496,4.5168300000000015,4.53042,5.6743,5.05126,5.08274,5.26047,3.97586,4.996580000000002,1
6.9500899999999985,8.0243,5.3891,6.60439,4.55655,8.814169999999997,10.1393,4.21271,7.32455,7.0175800000000015,4.44439,8.655489999999999,5.44767,8.67994,5.87748,8.927769999999997,6.6253600000000015,10.2331,7.33188,9.2789,9.56441,6.1478,5.51202,8.67282,3.7339,4.82645,4.9966599999999985,6.93088,4.15401,4.702380000000002,5.64205,8.31357,6.76329,7.78931,3.42627,3.50889,7.1829399999999985,4.51923,4.23936,4.13045,4.29093,4.83596,1
8.06742,7.90325,5.67549,7.535819999999998,4.37702,7.962169999999999,9.87317,4.10986,6.97187,6.1391800000000005,8.8306,7.5918800000000015,5.71402,4.17389,5.06644,6.70107,4.98227,9.3813,6.09585,8.2742,8.42103,4.16596,5.52744,3.19605,3.79503,5.09668,3.97021,4.52573,4.89165,4.98345,5.2972199999999985,6.91903,7.93232,8.049539999999999,4.19119,3.94496,6.8445,4.89383,4.27712,5.18628,3.5664800000000003,5.129,1
12.3522,7.6319,7.72002,7.74367,9.85655,8.82273,10.2562,5.50636,7.21374,6.44185,5.14072,7.630789999999998,9.50668,7.2182,6.55166,5.69448,5.69944,9.96427,6.2198400000000005,9.7353,8.43791,4.09015,7.18722,5.95775,6.23153,8.662510000000001,7.488060000000001,6.8206,4.08557,4.60078,4.92671,7.9744899999999985,5.6318199999999985,6.894430000000002,3.81356,3.91264,5.78958,5.32113,4.00486,4.50508,4.8411300000000015,4.92548,1
10.8506,4.74069,9.69007,7.7635,10.6799,9.27709,7.07637,3.732580000000001,8.130939999999999,7.6170399999999985,4.69336,6.29741,12.627,4.01475,6.842689999999998,3.56875,7.58028,5.59282,6.0088300000000014,9.05639,7.49633,4.75307,7.57517,3.04587,4.4963,7.54798,4.3155199999999985,5.0856,4.50387,4.73476,6.99879,6.24878,7.824610000000002,4.5643400000000005,4.94686,4.25479,6.10343,6.09879,4.10391,6.5963600000000016,4.3665,7.69365,0
8.58187,7.39988,8.0316,8.1794,9.86422,8.69068,10.1197,7.17547,7.32073,7.43722,6.12294,6.25991,10.2608,4.07954,6.31065,6.960189999999999,6.0835300000000005,7.400060000000001,5.94654,9.03694,8.47833,4.3691,10.2296,3.17362,5.8003300000000015,9.06174,4.92444,4.73696,4.0144,6.37222,6.70817,8.61931,8.68693,9.14221,4.43286,3.87304,6.1284800000000015,5.30851,4.38483,5.65974,4.38305,6.16337,1
9.12443,7.061660000000002,6.2083,7.835489999999999,11.529000000000002,8.465010000000001,8.88376,6.90417,6.9489,5.35847,5.86057,7.807760000000001,10.8108,8.771889999999999,5.8557,4.28341,5.32068,10.798,8.1687,10.7878,9.10559,3.9969,5.52401,4.55088,3.92339,8.513,5.60797,4.55144,4.13842,4.37712,5.10594,8.26677,5.86057,6.613410000000001,3.50916,3.68589,6.02273,4.72849,4.62616,4.63566,5.14199,6.02717,1
7.0872052972694695,8.97292883082831,7.02332074571097,7.940455509374582,5.50539811321753,7.93280226857712,7.01239636353578,4.69652847129993,7.80643818263127,6.51654389409058,6.17137971220125,8.188696163019541,7.06337060018265,5.5021116391807805,7.50641672286533,6.4748535074765,6.66768456659802,9.83025292251296,7.17563599008011,7.3555164995725715,8.71912136028882,4.63699382577634,6.87514996365677,7.33214616217795,4.75973812649587,5.95299887258477,5.59539030735458,6.5173095899353095,6.22134703267861,6.4155452921023715,6.9555064875754296,8.24575859982493,6.4233225091844295,7.52138600964182,4.93301298222819,4.78930883942479,6.80497860535923,7.090806471939559,7.7952615612928895,6.50358946706546,6.16019478522546,7.84069013520247,1
7.73508,7.6977,5.61294,7.13477,4.80737,7.60635,9.54978,3.29086,6.35501,5.20631,8.33589,6.57137,5.73159,4.0909900000000015,6.05155,4.59565,5.92976,7.451980000000002,5.9961699999999984,5.94163,8.65865,3.86133,5.30837,3.66569,4.205030000000002,5.57587,4.77927,4.47043,4.20222,4.35762,4.3179,7.24678,7.49021,9.80398,4.31696,3.53157,5.95522,4.4520300000000015,4.15223,4.7916,3.79839,4.7027,1
11.7106,7.06893,11.454,6.37585,11.4166,8.98971,10.2259,6.17705,7.89858,8.00158,4.30768,5.22388,11.1939,4.13331,6.5442,3.61959,6.6673,6.89418,5.55649,10.2743,7.92223,8.70965,6.17819,3.05441,5.52769,10.2321,4.27153,3.86168,6.04288,6.56717,7.93906,8.050310000000001,10.1263,5.18824,6.5486900000000015,5.60726,6.55103,5.86034,5.29514,5.62221,5.01171,7.95025,0
529.426981925783,640.232973241235,766.843576864078,1188.58673710102,16804.7157361483,4055.90461596177,254.581343419048,33.8848802074209,1782.5640605442002,451.62277237412695,40.5596650584463,9.93475247673964,7522.766858324741,0.36025966562912504,7.89350213518201,105.761666282549,0.0,14182.1005218989,111.181126218735,8647.65668951369,6586.317912488608,5.08164261560983,17.2961917540845,658.652285390709,1.14842734577617,509.28654994268203,78.11201563993441,2.12660134523604,4.312333191724661,216.696987232982,326.95371984243695,680.222387895693,155.218713951998,107.556946931536,2.0584305735210298,24.168149245700803,132.013832295085,85.48951017024629,2.58739991503479,11.3658545550538,141.276453622443,79.6253938617038,1
