CDIPT,SGTA,SPEN,UNC119B,GNG11,MAFG,CSF2RB,ANXA11,BOLA2B,HNF1A,SBF1,PKN2,SP3,PCM1,ZNF768,YIPF2,LRRFIP1,EDEM3,EXD3,TAF1D,target
9.93679,6.55449,7.79035,7.970460000000001,12.4436,5.83029,9.82223,8.079260000000001,9.02293,3.76997,6.09721,6.80386,9.8952,5.5738400000000015,5.99488,4.46338,6.32727,8.94158,5.2602699999999984,8.724039999999999,1
10.2339,6.72037,8.16615,8.30926,11.1715,6.85606,10.465,8.58891,9.16681,3.96114,7.0279,8.161489999999999,9.77974,6.5470000000000015,5.80392,4.89965,6.9439,7.944739999999999,5.81944,9.8874,0
9.67147,7.757389999999999,10.1321,8.511460000000001,6.72041,8.40674,11.4255,8.23108,9.40064,4.18989,6.96364,8.306980000000001,7.8334100000000015,7.776289999999999,6.9539399999999985,4.8787,5.7457,7.5627,6.19068,11.0157,0
10.5961,5.97667,9.67245,8.095469999999999,9.77895,6.8406699999999985,11.7211,8.75533,7.9207100000000015,4.12633,7.1978100000000005,9.62033,7.98295,5.48364,5.91977,4.981319999999998,8.94673,9.25207,6.04691,9.74904,0
9.94956,8.06992,9.83529,9.58084,6.971019999999998,8.00435,10.7769,8.6383,9.04782,4.16948,6.95058,8.03245,8.39622,6.74834,6.89012,5.03811,5.9428,8.14958,5.89728,10.7936,0
10.4223,6.63252,8.619769999999999,8.10055,10.0649,6.5417,11.6662,8.5323,8.20357,4.30325,6.6440100000000015,9.84149,8.38797,4.9167,5.6733699999999985,5.1119900000000005,8.77261,9.25698,5.34093,8.7366,0
9.76156,6.34621,6.90343,7.700989999999999,12.0907,5.83645,9.1402,7.6694,8.977,3.4863800000000005,6.25046,6.97067,9.062,4.393680000000002,5.47673,4.31921,7.60575,9.10511,4.991630000000002,9.11272,1
10.3079,6.81843,9.53129,8.34976,9.33969,6.16742,9.96408,8.345080000000001,8.83243,3.7429,7.15295,8.401489999999999,8.632,5.40618,5.67472,4.72,5.75523,9.12138,6.14666,9.21866,0
9.9738,7.40189,9.87068,8.746369999999999,11.583,6.87817,10.0597,8.41925,8.83561,4.23506,8.26415,7.985710000000001,9.88124,5.96788,6.21631,4.95047,8.5377,7.48055,6.0472199999999985,9.50578,0
10.3897,7.04568,9.66113,7.747730000000002,7.73043,5.80577,9.80599,8.60103,9.06586,4.1201,6.91967,9.4295,8.33135,5.32501,5.96917,4.95217,8.15175,8.44935,6.28777,9.0633,0
9.90498,6.8148399999999985,9.52596,8.26352,7.8811399999999985,6.06519,10.9688,8.705739999999999,7.212639999999999,4.39248,7.1360800000000015,7.727289999999999,7.973889999999999,5.26465,5.71231,4.57353,7.599289999999999,9.1821,6.37234,9.58103,0
