HSP90B1,MARCKSL1,RPL10P9,HADHB,MGAT1,CDIPT,SGTA,NASP,SPEN,RSRC2,UNC119B,CRIM1,GCC2,GNG11,TRIM16,PTGS2,AOC3,MAFG,CSF2RB,HGD,ESR1,SLC18A2,BMP6,ANXA11,CLC,CD70,AANAT,BAZ1B,UBN1,SEPT5,BOLA2B,GZMH,HNF1A,OPRM1,SBF1,PDE8A,PKN2,SP3,TRAF3IP3,PPBP,SLC5A12,GLG1,PCM1,SCFD1,KIR3DL3,COX7CP1,PIGG,ZNF768,RASAL2,YIPF2,MSRA,FSBP,CRYZL1,LRRFIP1,ZC3HAV1,VSIG10,EDEM3,CYP39A1,ZNF692,EXD3,LSG1,CDC14B,TAF1D,CCDC28B,AGAP10P,EPS15L1,target
9.27271,8.82868,13.4964,10.1591,4.91269,9.93679,6.55449,3.2979,7.79035,9.79982,7.970460000000001,6.15541,8.53098,12.4436,5.03842,5.30958,3.70498,5.83029,9.82223,7.0526300000000015,4.59446,5.13056,7.1118,8.079260000000001,7.135,6.8319899999999985,4.09886,7.70236,7.94065,6.47171,9.02293,11.3447,3.76997,4.33965,6.09721,6.916060000000001,6.80386,9.8952,6.41996,13.6796,3.38248,8.45627,5.5738400000000015,3.88794,8.43862,11.9044,7.28083,5.99488,3.5633800000000004,4.46338,7.7652899999999985,4.25599,7.45685,6.32727,5.84526,4.50709,8.94158,4.8589699999999985,6.78406,5.2602699999999984,6.61366,7.32178,8.724039999999999,6.280869999999998,4.65336,5.99368,1
10.8076,9.04203,13.6595,10.7493,5.3023099999999985,10.2339,6.72037,4.8238400000000015,8.16615,8.76821,8.30926,5.7718300000000005,8.12472,11.1715,5.41909,6.57918,3.4857,6.85606,10.465,5.47792,4.381,4.8924400000000015,6.01434,8.58891,10.3826,6.48283,3.78685,7.19257,9.46527,6.84761,9.16681,10.0021,3.96114,4.46396,7.0279,6.90223,8.161489999999999,9.77974,7.0455,12.7347,3.26339,9.23169,6.5470000000000015,4.5906400000000005,6.21635,12.1173,7.25409,5.80392,3.44085,4.89965,8.2872,4.03906,6.27295,6.9439,6.85859,5.15415,7.944739999999999,4.5422699999999985,5.901680000000002,5.81944,7.55157,7.87501,9.8874,6.36987,5.0448900000000005,6.30736,0
10.5808,10.4874,13.1507,10.5733,3.9131,9.67147,7.757389999999999,6.21597,10.1321,8.823360000000003,8.511460000000001,4.11883,6.583360000000001,6.72041,5.30192,3.843,4.11741,8.40674,11.4255,4.4996,4.56141,4.51788,4.48097,8.23108,8.50327,6.647,3.45402,7.50156,10.4849,6.7248,9.40064,4.54226,4.18989,4.91059,6.96364,4.10232,8.306980000000001,7.8334100000000015,3.91415,4.22269,3.47302,8.45423,7.776289999999999,4.7260800000000005,5.35134,11.6608,7.55214,6.9539399999999985,4.65906,4.8787,8.52391,4.92663,6.85509,5.7457,6.97403,7.30638,7.5627,5.2451,6.81279,6.19068,8.31611,4.91059,11.0157,7.38353,5.46861,7.53078,0
8.92278,8.87577,13.3467,9.45645,5.77151,10.5961,5.97667,5.8526,9.67245,9.35874,8.095469999999999,4.6334800000000005,8.86167,9.77895,4.71557,7.73013,4.72613,6.8406699999999985,11.7211,4.80836,4.94074,4.44428,5.48569,8.75533,10.8382,6.6847699999999985,4.44169,6.87369,10.8473,6.4351699999999985,7.9207100000000015,7.268910000000001,4.12633,4.39621,7.1978100000000005,7.2009,9.62033,7.98295,8.14069,12.4636,3.26727,8.13457,5.48364,4.93118,5.7926,10.4698,8.28186,5.91977,3.38561,4.981319999999998,7.1807300000000005,4.85675,8.133389999999999,8.94673,5.95368,5.70881,9.25207,4.84122,7.0870000000000015,6.04691,7.27382,5.3285300000000015,9.74904,6.17441,5.40623,6.32506,0
10.4257,10.6975,13.698,11.4054,3.97287,9.94956,8.06992,6.2926199999999985,9.83529,9.311,9.58084,4.98421,7.10664,6.971019999999998,6.47105,5.01591,4.01423,8.00435,10.7769,4.43645,4.22719,6.71005,5.42169,8.6383,10.7351,6.335369999999998,3.87893,7.94605,10.3078,6.13633,9.04782,5.0874,4.16948,4.31818,6.95058,3.98802,8.03245,8.39622,3.55511,4.347,3.05894,8.40456,6.74834,3.96729,4.97561,11.734000000000002,8.50413,6.89012,4.203130000000002,5.03811,9.02711,5.33787,6.7108,5.9428,6.78555,7.37599,8.14958,4.56987,6.9241199999999985,5.89728,8.4891,5.57491,10.7936,7.71983,4.580030000000002,7.0975,0
7.0530800000000005,8.64518,13.184,9.56033,5.09259,10.4223,6.63252,4.26509,8.619769999999999,9.71051,8.10055,5.39835,8.3474,10.0649,4.9277,7.97872,4.8594800000000005,6.5417,11.6662,5.69727,4.82975,4.80852,6.26613,8.5323,10.8543,6.49055,4.66166,7.173839999999998,9.40068,6.628660000000001,8.20357,9.09017,4.30325,4.6047400000000005,6.6440100000000015,6.972239999999998,9.84149,8.38797,7.50675,12.019,3.51418,9.33328,4.9167,4.9854699999999985,5.64817,10.8214,7.959739999999999,5.6733699999999985,3.47035,5.1119900000000005,7.2261,4.21368,7.42011,8.77261,6.07429,5.81763,9.25698,5.29825,7.09943,5.34093,6.96156,5.45615,8.7366,6.2156,4.4897800000000005,6.11031,0
9.05202,9.35385,13.4564,9.91078,4.91822,9.76156,6.34621,3.55349,6.90343,9.91861,7.700989999999999,5.77498,8.63672,12.0907,5.34772,3.70211,4.0782,5.83645,9.1402,6.57555,4.0481300000000005,4.60262,6.94813,7.6694,8.38824,6.74327,3.72201,8.01515,7.4873699999999985,5.98356,8.977,10.851,3.4863800000000005,4.59359,6.25046,6.9977800000000006,6.97067,9.062,7.17258,13.5546,2.92876,8.55936,4.393680000000002,3.7976,5.9896,12.0093,7.52575,5.47673,3.5326,4.31921,7.45047,4.48099,8.20619,7.60575,6.20228,5.06746,9.10511,5.27342,7.00881,4.991630000000002,6.86706,7.31962,9.11272,6.56808,4.73482,5.52484,1
9.75805,9.6569,13.5516,10.1721,5.6978800000000005,10.3079,6.81843,4.20136,9.53129,10.1101,8.34976,6.2291,8.854339999999997,9.33969,5.53702,6.50856,3.78394,6.16742,9.96408,4.71668,4.72851,3.8749,5.4149699999999985,8.345080000000001,9.20993,6.6089600000000015,3.84046,8.152999999999999,9.75133,6.47047,8.83243,11.6894,3.7429,4.06018,7.15295,7.19028,8.401489999999999,8.632,7.52232,12.1761,3.22761,8.98291,5.40618,4.75094,7.07982,11.7881,8.03036,5.67472,3.38878,4.72,7.763339999999999,4.8398400000000015,8.30684,5.75523,6.43622,4.87014,9.12138,4.79966,7.4634399999999985,6.14666,8.34154,6.52091,9.21866,6.34906,5.17488,6.07174,0
9.80488,9.89415,13.4937,10.2735,6.74532,9.9738,7.40189,5.78584,9.87068,10.2315,8.746369999999999,6.3140800000000015,8.37487,11.583,5.72475,6.3146900000000015,3.86032,6.87817,10.0597,7.1695600000000015,4.42694,5.05506,7.46046,8.41925,5.76273,6.51236,3.68013,7.95645,9.5577,6.66678,8.83561,11.7015,4.23506,4.13159,8.26415,7.25001,7.985710000000001,9.88124,6.97409,13.0531,3.52965,10.0909,5.96788,4.4405199999999985,8.59068,11.7625,8.02391,6.21631,3.78074,4.95047,8.015139999999999,4.53204,6.64045,8.5377,6.79553,4.748469999999998,7.48055,4.651680000000002,7.641,6.0472199999999985,7.2538300000000016,7.90017,9.50578,6.785660000000001,5.12606,5.92199,0
9.1525,9.837,13.6728,9.7134,5.437130000000002,10.3897,7.04568,4.1738300000000015,9.66113,9.90472,7.747730000000002,5.98353,8.754710000000001,7.73043,5.5335,8.348419999999999,4.13591,5.80577,9.80599,4.11536,5.2834900000000005,4.31685,4.61198,8.60103,9.65442,6.20695,3.75309,8.1114,9.17605,7.091360000000001,9.06586,11.1406,4.1201,4.32754,6.91967,6.5716600000000005,9.4295,8.33135,8.85162,10.2342,3.45004,9.22208,5.32501,5.40936,8.0369,11.719,7.821989999999999,5.96917,3.47379,4.95217,7.32003,4.7403900000000005,9.19559,8.15175,6.96835,4.8351,8.44935,4.4147300000000005,7.2945600000000015,6.28777,8.025730000000001,4.63259,9.0633,7.22807,5.13967,5.88577,0
