CCL5,TGFBI,NUP214,EPS8,IGF1R,PRAME,APOC4-APOC2,FPR1,HOXB6,FAM50B,WT1,GP1BB,FLT3,CDKN2A,ASAH1,LCN2,COL4A5,HOXA1,TRBV21-1,AKTIP,LPAR6,DEPTOR,C3orf14,CXorf57,PCDH9,NUDT11,SH3BP4,target
9.77201,8.02418,8.810839999999997,5.07421,7.63012,5.27724,6.32616,9.64856,7.50259,6.19347,3.77505,7.90332,6.46807,6.8139,9.82273,11.3734,4.51053,4.33857,4.45143,6.8098100000000015,6.58143,5.06553,3.96027,4.11409,4.83905,4.80011,4.6007,1
12.0725,11.071,9.32465,5.21177,7.71822,4.09611,5.780480000000002,9.93575,3.83049,6.642010000000001,3.15814,8.41496,6.517,5.7534800000000015,10.4138,8.280380000000001,2.86592,5.50256,5.1677300000000015,7.50453,10.1395,5.22797,6.83189,6.21347,6.89841,4.4595400000000005,5.4227,0
9.55874,8.81052,9.005419999999997,6.03792,4.72529,4.98473,7.73987,10.1756,8.86994,5.8163,5.471430000000002,4.69487,8.3257,6.7916300000000005,10.269,4.89423,3.77085,7.25794,4.9295300000000015,4.731330000000002,9.26271,5.21496,4.5168300000000015,4.53042,5.05126,5.08274,3.97586,1
6.9500899999999985,5.3891,8.814169999999997,4.21271,7.0175800000000015,4.44439,8.655489999999999,5.44767,8.67994,5.87748,8.927769999999997,6.6253600000000015,10.2331,7.33188,9.2789,5.51202,8.67282,4.9966599999999985,4.15401,5.64205,6.76329,7.78931,3.42627,3.50889,4.51923,4.23936,4.29093,1
8.06742,5.67549,7.962169999999999,4.10986,6.1391800000000005,8.8306,7.5918800000000015,5.71402,4.17389,5.06644,6.70107,4.98227,9.3813,6.09585,8.2742,5.52744,3.19605,3.97021,4.89165,5.2972199999999985,7.93232,8.049539999999999,4.19119,3.94496,4.89383,4.27712,3.5664800000000003,1
12.3522,7.72002,8.82273,5.50636,6.44185,5.14072,7.630789999999998,9.50668,7.2182,6.55166,5.69448,5.69944,9.96427,6.2198400000000005,9.7353,7.18722,5.95775,7.488060000000001,4.08557,4.92671,5.6318199999999985,6.894430000000002,3.81356,3.91264,5.32113,4.00486,4.8411300000000015,1
10.8506,9.69007,9.27709,3.732580000000001,7.6170399999999985,4.69336,6.29741,12.627,4.01475,6.842689999999998,3.56875,7.58028,5.59282,6.0088300000000014,9.05639,7.57517,3.04587,4.3155199999999985,4.50387,6.99879,7.824610000000002,4.5643400000000005,4.94686,4.25479,6.09879,4.10391,4.3665,0
8.58187,8.0316,8.69068,7.17547,7.43722,6.12294,6.25991,10.2608,4.07954,6.31065,6.960189999999999,6.0835300000000005,7.400060000000001,5.94654,9.03694,10.2296,3.17362,4.92444,4.0144,6.70817,8.68693,9.14221,4.43286,3.87304,5.30851,4.38483,4.38305,1
9.12443,6.2083,8.465010000000001,6.90417,5.35847,5.86057,7.807760000000001,10.8108,8.771889999999999,5.8557,4.28341,5.32068,10.798,8.1687,10.7878,5.52401,4.55088,5.60797,4.13842,5.10594,5.86057,6.613410000000001,3.50916,3.68589,4.72849,4.62616,5.14199,1
7.0872052972694695,7.02332074571097,7.93280226857712,4.69652847129993,6.51654389409058,6.17137971220125,8.188696163019541,7.06337060018265,5.5021116391807805,7.50641672286533,6.4748535074765,6.66768456659802,9.83025292251296,7.17563599008011,7.3555164995725715,6.87514996365677,7.33214616217795,5.59539030735458,6.22134703267861,6.9555064875754296,6.4233225091844295,7.52138600964182,4.93301298222819,4.78930883942479,7.090806471939559,7.7952615612928895,6.16019478522546,1
7.73508,5.61294,7.60635,3.29086,5.20631,8.33589,6.57137,5.73159,4.0909900000000015,6.05155,4.59565,5.92976,7.451980000000002,5.9961699999999984,5.94163,5.30837,3.66569,4.77927,4.20222,4.3179,7.49021,9.80398,4.31696,3.53157,4.4520300000000015,4.15223,3.79839,1
11.7106,11.454,8.98971,6.17705,8.00158,4.30768,5.22388,11.1939,4.13331,6.5442,3.61959,6.6673,6.89418,5.55649,10.2743,6.17819,3.05441,4.27153,6.04288,7.93906,10.1263,5.18824,6.5486900000000015,5.60726,5.86034,5.29514,5.01171,0
529.426981925783,766.843576864078,4055.90461596177,33.8848802074209,451.62277237412695,40.5596650584463,9.93475247673964,7522.766858324741,0.36025966562912504,7.89350213518201,105.761666282549,0.0,14182.1005218989,111.181126218735,8647.65668951369,17.2961917540845,658.652285390709,78.11201563993441,4.312333191724661,326.95371984243695,155.218713951998,107.556946931536,2.0584305735210298,24.168149245700803,85.48951017024629,2.58739991503479,141.276453622443,1
7.910719999999999,5.91972,7.77333,4.1596,6.91079,9.59474,6.51566,6.0838,3.85463,6.04124,4.75135,5.41357,11.0823,5.7093300000000005,9.57974,5.06071,3.15449,4.11194,4.0441699999999985,5.53795,8.4971,11.2541,3.63926,3.92485,4.2933,4.84381,3.745,1
9.38025,8.751439999999999,9.45747,3.61877,7.8627699999999985,4.544580000000002,5.926830000000002,11.6272,4.43917,6.4867300000000006,3.96942,6.92882,6.34034,5.93849,9.63185,13.5372,3.01055,4.6784300000000005,4.34154,8.97542,6.27665,4.75409,4.64535,4.4410300000000005,6.7145800000000015,4.83549,5.33744,0
8.63313,6.67483,7.69878,3.27144,7.98853,5.0055,7.220839999999999,7.29045,4.79955,6.0549,5.49707,5.15235,9.14743,5.90378,8.92934,5.94919,4.56127,4.93144,4.20352,6.16275,6.09799,6.9180600000000005,4.28682,3.86676,4.57613,5.37007,4.20267,1
8.52575,6.28209,8.0287,3.9493,8.288910000000001,4.75493,7.396560000000001,6.05847,3.76561,6.45496,7.295660000000002,5.0135,9.91197,6.837269999999998,8.46822,5.60792,7.08338,4.1378,4.3117800000000015,5.62681,6.81711,6.30422,3.84866,3.83268,6.04512,4.34615,6.132619999999998,1
7.77398,6.22847,9.06189,4.83225,6.03517,5.11423,8.56736,9.06347,8.808589999999997,6.17115,6.57251,5.80569,9.57549,5.82607,10.7812,5.98007,7.85898,7.6560000000000015,4.27591,6.15346,4.20632,7.43376,3.60251,4.0962,4.58596,4.19245,5.77347,1
8.76769,6.22856,7.764019999999999,7.2861600000000015,7.3132100000000015,6.7724199999999986,7.221260000000001,6.41655,4.27396,6.596889999999998,8.29929,6.24514,8.78014,6.0548199999999985,8.08729,5.715319999999998,5.14581,5.8724,4.09422,5.30809,9.71826,9.85783,3.91723,4.20674,5.25866,4.73059,4.20924,1
9.920947646271829,9.828616662253099,8.79352986940678,4.86418588944749,7.06207529441115,5.511447021248139,7.23521413990263,9.6043279346983,4.7749187244066915,7.313809239547349,4.48148445592886,8.99807772114915,6.5846190728975404,6.64914740396504,9.073464361064561,6.883931022625951,3.8361518960367698,4.84420603085715,5.80214614774799,8.27203763013862,7.95007818081416,5.48724435834869,5.18394771036907,4.5372065954339815,8.705567266456221,7.084168488841231,5.45260913290143,0
11.4097,11.6148,9.21503,5.38826,7.51444,4.10356,5.75599,10.7953,3.52507,6.66262,3.12915,8.70502,5.57199,5.3166400000000005,11.0304,8.89227,3.05824,4.65039,4.90456,7.6823,9.85093,4.937869999999998,6.7217,5.33098,6.28601,4.10356,4.61713,0
7.90008,5.38795,8.0157,3.56901,8.13822,8.83881,8.78472,5.83316,4.00335,6.7539,8.427610000000001,7.11997,10.4034,7.71578,7.3890600000000015,5.2573,3.51399,4.24655,4.70104,5.98341,5.87066,9.09254,4.25791,3.96021,4.75683,4.4219300000000015,5.14728,1
8.22869,6.07336,7.81653,5.65903,7.24948,6.6193800000000005,6.48456,8.00347,4.26858,6.29951,7.1124100000000015,4.66721,6.94798,6.56554,8.343869999999999,10.3285,5.6761,4.24346,4.13919,5.02612,7.00467,10.4601,3.32605,4.05755,4.80821,4.00594,6.7285,1
10.1617,9.98557,9.32028,5.32114,7.8609,3.23288,4.95354,9.18233,3.9432,6.46009,3.1155,7.66867,5.28362,4.80232,8.42881,6.7232699999999985,3.1055900000000003,5.6489,4.34887,7.01967,9.36413,4.41367,6.18875,6.4286900000000005,6.98129,5.88796,4.96772,0
8.09208155012105,10.089533910573,9.18882279007714,6.72355145113539,5.33540769327767,5.459457026914411,7.68037457614583,10.466459866301301,5.35166405928288,7.450619760867161,6.694566767018441,6.386597969050598,9.02344549625448,6.91324994941847,9.72013327708434,9.854162383026713,4.15179100654901,5.00167358046559,5.2115008546588895,7.60309011042016,9.71380996785145,8.75048681240151,4.50889373388037,4.39083209136484,5.66024840018646,6.91330802465724,4.99888011823131,1
6.77671264377022,8.60640211368598,8.16911874764566,5.30756695819931,5.8839878599564015,6.06657922136598,7.52304206366037,7.23484451408093,5.2368870937943095,8.45369163147413,4.237141728044399,7.21950080792925,6.98847882201262,7.01413881135573,7.93571205867918,10.1889842544307,4.4170428898624,5.0761276574252685,5.5971917770671284,5.87679930630116,6.271775904397991,6.05034703763728,4.9357361995932,5.25553510964785,5.66761206223662,7.29811191452675,5.30985928565314,1
6.606839999999999,4.65095,8.54744,8.80899,6.4032,4.49184,5.91527,4.98502,4.6761300000000015,7.49045,9.35755,8.85468,9.53416,7.6363699999999985,6.975339999999999,5.35083,2.99941,7.313560000000002,3.889,4.70865,4.00535,9.06168,3.78216,3.95111,4.4352800000000006,4.1182300000000005,4.09626,1
5.11387,5.26096,8.95632,4.22589,6.892,4.3379,5.41289,5.93755,4.7102900000000005,8.602319999999999,4.15661,5.2018900000000015,10.0438,5.2718099999999986,5.56643,5.54076,2.7233,4.0972,4.21743,4.9704,4.70691,9.0996,7.90102,6.42825,8.245389999999999,7.98225,8.90222,0
7.63519,6.17341,8.91179,4.09076,6.49009,5.02237,7.65597,8.11097,10.4444,5.90094,7.14083,4.98084,7.005889999999999,7.47169,8.35261,5.59176,6.5379,6.49125,4.5061800000000005,5.2941699999999985,4.7876400000000015,4.89096,4.1519,4.3727800000000006,4.73285,4.99545,7.460960000000001,1
5.599008600237322,6.918175973470942,8.313549921186,4.55122884067773,6.83415468416222,5.60417316457188,7.155840892231032,7.02643620188984,5.3517717455556,7.3231945460339105,4.8842893438648,5.64347231384179,7.69998814100209,7.4224974112199105,6.131140280001151,6.391288921037941,4.69955512900817,5.3571432772129,5.727733512854309,6.421604573649651,5.04576525017012,6.0353052059576,5.12270928724457,4.915643255353031,11.039539702783802,8.2257818573385,7.5840103834129,0
12.1389,8.19636,8.54204,6.18918,4.21772,4.7438,6.879289999999999,6.40918,4.83907,5.77284,4.2431199999999984,5.73234,8.39332,5.74783,7.85962,5.4455300000000015,3.71172,5.54737,4.4828800000000015,5.0934599999999985,8.6558,5.10584,4.0984099999999986,3.89193,5.22317,5.45089,9.11832,1
7.5277699999999985,8.35718,8.762410000000001,5.86339,3.54592,5.58593,7.30772,8.534410000000001,4.53373,5.8544,8.864460000000003,6.30775,8.5254,6.17339,9.00042,5.54023,3.33046,4.26944,4.83255,5.7688,8.253789999999999,7.35663,3.71956,3.93342,4.82953,4.66792,3.70828,1
5.69078,8.509030000000001,9.25258,3.6827,6.39998,3.91697,5.72169,6.48956,4.32706,7.91245,4.12389,7.2306,9.33683,5.7107,5.78519,5.34002,2.89295,4.8329900000000015,4.13859,4.0666400000000005,4.803,8.772730000000001,7.49455,5.66153,4.94418,6.17314,8.84337,0
3.49706,4.47583,8.45247,9.29363,7.2884699999999984,4.45669,5.67015,4.74198,5.55737,8.01544,10.2323,6.636660000000001,10.3153,6.72832,7.95298,5.07259,3.23036,7.22881,4.23945,4.51861,3.83098,8.6251,3.83244,3.5105699999999995,4.57635,4.12302,3.72643,1
9.1199765389818,8.92611400321324,8.86569070568424,5.65211856797934,5.43333154186094,5.95363070984689,7.47215288186152,8.790615059699121,5.7977827443550884,7.609143160773112,6.07682467896184,6.4457125693356,10.765852824377804,6.63556423591624,9.51230982238013,6.39399614057055,4.29279142429679,5.0475458333235315,5.3644325474268,6.68838160674787,9.745549560492961,9.11903325139452,4.458979597640731,4.39888594980116,5.63921721168544,7.19790700868339,6.29182913261667,1
7.63194003229069,6.856400055720849,8.11088138995781,5.413849104695388,5.76946136540764,5.698516342013121,7.12330856591921,7.9063509749795,8.05760792554575,7.44042077791371,4.61785917056014,6.7454354431690895,9.951943307162779,6.8023111555765485,8.70361877781958,8.39024522276142,6.6011168691931,6.19079240016633,5.69217301574723,8.43819902809117,7.36042074031909,7.806009021538099,4.5239913904912,5.0087569310444815,6.6042298808748185,7.422449962662751,5.86410246787994,1
6.5789100000000005,5.5317300000000005,8.27977,5.0939999999999985,7.27822,4.43809,5.99883,7.32875,3.95919,7.22107,3.659780000000001,5.18944,11.3454,7.21915,9.46137,5.61859,3.17692,4.42924,4.002669999999998,5.64647,10.5413,8.74421,3.76134,4.94256,4.48752,4.36735,4.9389699999999985,1
9.61512,8.18489,8.60092,8.55151,6.718560000000001,4.1318800000000016,6.01441,9.93341,8.32173,6.16871,6.77025,5.41828,10.5771,6.912089999999999,10.3456,10.0893,6.810339999999999,7.345969999999999,3.85437,6.3467400000000005,9.02958,8.32732,3.71074,3.99821,4.77556,4.39038,4.1890800000000015,1
387.065111443873,1530.3493582419296,7365.6455970610405,887.134188455045,184.598703395571,0.0,17.709257825304398,4270.27235626337,0.0,170.707252849519,26.1920099883077,0.0,7924.89762882933,116.67723571938,11349.1929849326,299.615100537194,0.0,9.63991373634634,0.0,154.221781305353,780.306580000595,2647.59515905943,0.0,4.820032714585071,24.2811899668926,2.17602394950262,0.0,1
11.7586,11.466,8.90236,5.85305,7.30466,4.1834,5.94741,10.2774,3.79978,6.73641,3.31647,10.0729,6.48428,5.7588599999999985,10.3839,8.649519999999999,3.18552,4.35772,4.91783,7.99757,10.6032,5.39944,6.7820800000000006,5.70521,5.73079,4.87068,6.21841,0
10.6385,10.3316,9.42507,4.1384,7.96283,4.07639,5.97887,12.312,4.48974,7.56953,3.49899,7.01402,4.99244,5.59072,10.4519,8.262089999999999,3.16423,4.88534,4.09055,7.37028,7.22205,4.34098,4.54385,5.06266,6.31025,4.32702,4.56665,0
