WARS,STMN1,SDCBP,CST3,SOX4,TGFBI,AEBP1,COL3A1,TSPAN7,RER1,MATN2,IFI27,S100A13,LYN,DBN1,CD93,SIRPA,C1QB,SMARCD1,SSBP2,MAP3K5,MPO,P2RX4,JADE3,BCHE,MEOX1,CTSG,EREG,ADAM28,NPY,RHAG,ARG1,PF4,APMAP,CEACAM8,CCR2,DEFA4,MMP8,CRISP3,NAALADL1,S100A11P1,PSMA6,ANXA2P2,THY1,SLC1A5,CES1P1,SPP1,SEC31B,GABPAP,IRX5,DNTT,IGHV3-23,ATP6V0A1,GPS2,GYPB,ZNF423,ADAM10,TRAF3IP2,ABCC6,ADA,SCNN1A,ENAH,MED28,LPAR6,TMEM106B,DPPA4,L2HGDH,CD244,ARPP21,VRTN,FOXRED2,ASTE1,SEMA4C,PRR5,target
7.58644,10.3903,10.0872,5.69383,12.3259,5.34043,10.4348,3.87578,4.20053,7.5332,3.1883,5.92237,7.77132,7.79354,10.0179,4.28704,4.79806,3.61747,8.12229,11.2425,4.73099,5.11269,8.63089,9.1639,2.84598,4.09389,5.12679,3.41367,4.36063,4.58409,4.723,4.65659,5.20655,7.01406,3.69726,3.94826,4.98799,4.28421,2.9107,4.85664,5.53905,12.9506,8.21699,5.50986,7.57213,4.63727,4.41753,8.13175,7.22857,6.81724,12.0522,6.0753,5.51477,7.94504,6.7239,7.97334,7.37686,9.89451,3.97669,10.6389,6.30207,6.69383,6.20654,5.81834,7.56682,3.04703,5.85229,4.80488,10.5562,6.26787,7.34871,6.88721,7.81337,5.77811,1
7.17882,9.56491,8.57462,7.51203,11.4992,5.8678,10.226,4.50839,7.99242,7.24683,3.26752,5.89258,10.4042,9.05878,8.25889,6.73594,6.25999,3.91592,8.47917,9.43177,6.48488,7.22204,6.51038,8.15952,2.85239,4.39434,6.23778,5.10044,4.28463,10.0299,8.13777,5.39379,6.48822,9.2412,3.67315,4.3698,6.55371,6.4532,3.11841,4.77166,5.58053,11.868,8.41057,5.47778,6.91458,4.7592,5.7178,7.3887,7.45743,5.13164,13.3558,5.61006,7.40647,8.57408,7.89213,9.33549,5.30845,9.33911,4.2234,10.6558,5.35819,6.21766,5.83098,8.88907,7.77737,3.24399,5.051,5.01342,9.89832,6.19194,6.70428,4.3032,6.12193,6.23844,1
8.11437,10.0698,9.8417,9.63627,11.1184,4.66802,7.4523,3.89211,6.46885,9.45454,3.36868,5.45549,6.82782,10.5372,7.90145,7.09349,8.01947,4.135,7.31756,10.1449,8.29106,5.47653,6.77579,7.44843,2.86845,3.86025,6.37489,9.68612,7.379,4.30416,3.04562,4.00985,5.88251,9.22787,3.91067,3.96057,5.01203,4.45045,3.1736,7.09742,6.49716,11.7803,6.93277,6.77482,5.94199,4.8023,5.36981,5.34133,5.16308,4.2087,7.55252,5.27959,7.92295,8.96387,5.64805,6.78234,4.44831,8.43121,5.47208,9.90283,5.21748,6.24159,8.70166,4.93427,8.87425,6.91228,4.95553,8.69564,4.07349,5.86232,6.80842,7.14803,8.31676,9.55297,0
8.59254,9.48391,7.32353,7.35016,11.9784,5.25513,10.0834,4.40284,6.56073,7.68454,3.44093,4.87133,8.5112,9.3839,9.31452,6.65332,6.83503,4.04757,7.7015,9.29115,6.76997,8.93619,7.68622,5.36833,2.78694,4.13287,4.8575,3.80103,5.79861,9.12099,3.13073,3.97336,6.2225,9.17689,3.7663,3.29778,5.05729,3.54078,3.10623,5.27693,5.66202,12.0796,8.52944,5.7306,6.94002,5.75429,4.22552,6.94032,7.1409,4.45405,12.4798,5.37377,6.46808,9.42549,4.72243,7.40821,7.1827,9.27011,4.124,10.9114,5.60044,7.82687,7.46548,8.2628,7.19187,3.37059,4.94161,6.1384,4.00564,6.16654,6.61106,6.47087,5.77808,6.69696,1
8.48523,8.8884,9.2999,5.10034,11.3539,5.39412,9.02121,4.41733,4.0851,9.03421,3.1125,5.21361,7.42963,7.45565,6.48277,7.44772,5.70548,4.59037,7.55622,10.4463,8.51725,5.02846,7.64621,6.37404,2.91862,4.56264,6.57877,3.60418,4.65683,5.92075,3.85257,5.15762,5.09758,8.99643,3.38457,3.23344,5.16969,4.55714,3.13142,4.44947,5.7138,12.5799,10.9798,5.86606,7.82109,5.3515,4.27431,7.2832,6.3001,5.29207,12.0484,5.69397,6.59398,10.3805,5.67472,7.15076,8.9542,10.0686,4.17244,11.0127,6.77607,3.84036,5.56624,9.13672,7.58149,2.97254,4.88283,4.80701,9.18904,6.70162,6.25604,6.09042,5.62439,6.19335,1
9.28146,9.76522,10.1909,5.39644,11.6718,5.67566,7.80346,4.00134,5.87954,8.89625,3.07784,5.6998,6.55567,9.4886,7.38715,9.19221,6.10996,4.45425,8.20822,8.87409,6.93735,6.81009,6.54881,6.00014,3.2918,4.56909,11.5221,4.26753,5.71735,5.91695,4.88905,7.44872,5.41548,10.7134,7.0307,4.5395,9.8491,7.53645,5.73212,4.29131,6.50642,12.1019,10.3684,5.5226,6.49102,5.06285,4.14353,9.19934,6.07186,8.18909,12.2325,5.84506,7.69586,7.72627,6.70227,4.78731,4.5381,9.70478,4.44205,11.743,5.46531,4.08654,6.26667,9.53155,4.2205,3.09065,5.49458,5.36567,8.44095,5.60247,6.67904,6.10823,6.8266,7.02708,1
6.98455635668588,10.2325546308539,8.1951423820544,7.67527349513951,10.7877809291777,6.51147395922325,7.4428204739702,5.22475786345933,8.28905623768339,7.58823841691476,4.12923702614556,6.52791724624492,6.50267478830385,5.92929562519584,9.4298777359258,8.70383278490075,6.41682500862767,5.55564316566367,8.10851611408822,9.32859992822732,6.15518978458917,5.89293219565301,8.0473800528639,6.32420919535314,4.31401995989104,4.31995960831734,6.96700821836621,4.1090455375774,5.2899345120908,7.54324475993698,4.55405200976095,6.1474350308136,7.1959304633111,8.5456073079729,4.79153729717689,6.36481732477776,6.97516373173395,6.0584666555531,3.94860199851711,5.34857525587699,7.60826903572474,11.801715301665,7.78668855227502,6.65121532571669,8.05743889944737,6.35545252126772,5.14500720892377,7.65778330961185,5.98620742282868,6.3899539739924,11.8515573609672,6.97379701371232,7.791400342518,7.80956837211854,6.90243618044561,9.14846566248163,6.59223279755971,10.2848463979281,5.98620742282868,8.99717600392444,6.2219873569065,6.11478478309093,7.66888917632381,8.33636004421663,4.74601097412239,4.54151587260181,4.73091590483195,7.1760909529745,5.37860159069442,6.45847307708923,7.36375354967659,6.87758303852143,7.82840511514706,7.37694237515405,1
10.072,7.11319,12.0271,9.90004,9.19592,11.5187,5.97296,4.00378,4.11366,8.97029,3.38084,5.2264,6.21306,11.0342,6.19979,10.9151,9.18856,4.98896,6.84455,8.07828,8.59293,5.39093,8.51227,4.65672,2.81647,6.4585,6.28,6.06883,7.43003,4.29009,3.18193,5.08297,10.8346,10.1997,6.78735,9.71818,6.57837,6.59178,5.37913,5.46009,8.96075,11.6982,10.8649,5.18312,5.91616,7.51891,3.99629,5.6102,6.5558,3.9854,4.99263,6.05868,7.41022,7.75351,4.85492,3.91701,8.75768,7.94952,4.30133,8.73794,5.32619,3.94468,7.781,10.1464,9.04739,3.28374,4.71217,9.17989,4.20379,5.83918,5.7548,7.73562,7.34058,7.0608,0
8.04392,9.94452,9.35083,4.8067,11.639,5.60126,11.1011,4.04494,4.29154,8.86755,3.45346,5.44261,8.42935,9.09221,8.24922,8.0967,5.06344,4.59942,7.39389,10.6087,6.75331,7.26547,8.48653,6.10509,2.75024,4.33354,8.55113,4.74541,4.68558,8.7137,6.09488,8.8433,5.40359,9.03483,8.55494,3.84228,10.6032,10.0978,7.13531,4.52324,6.76745,13.046,9.6622,5.65731,7.71249,5.04292,4.02124,7.89985,7.12543,5.5711,11.1775,5.36741,7.02823,7.72476,7.45371,5.72193,8.47614,10.4016,4.07697,11.4857,6.2225,3.67055,6.81501,7.81281,7.58247,2.94135,5.38151,4.95811,11.223,6.48339,6.16783,6.2509,5.38437,6.36905,1
6.93474,9.08926,7.97492,7.19789,8.75651,4.97696,9.22923,4.98032,6.09946,7.82365,3.53993,8.99391,8.41609,7.4271,9.36893,4.47379,5.80837,4.14225,8.10695,9.63086,7.46229,4.88605,6.4434,5.64809,2.98439,4.40562,5.21799,3.50111,7.66113,9.36109,3.57392,4.44227,6.81449,8.10644,3.04035,4.11821,5.53372,4.14499,2.9884,5.23489,6.05332,11.8103,8.01678,6.05421,6.59471,4.84702,5.14962,8.04064,7.03803,4.51701,12.0787,5.6068,7.3342,9.65644,6.40994,8.62936,5.8036,8.698,4.24944,9.71708,5.93922,6.48783,4.32333,8.41303,7.30727,3.54737,5.48632,5.99802,8.60713,5.00097,6.35448,7.20595,6.78288,7.35563,1
