CCL5,TGFBI,NUP214,EPS8,IGF1R,PRAME,APOC4-APOC2,FPR1,HOXB6,FAM50B,WT1,GP1BB,FLT3,CDKN2A,ASAH1,LCN2,COL4A5,HOXA1,TRBV21-1,AKTIP,LPAR6,DEPTOR,C3orf14,CXorf57,PCDH9,NUDT11,SH3BP4,target
6.81293987196404,6.557979580401911,8.953377457778199,4.450672842405691,5.61561415653974,6.9913359389721,8.47707959454074,7.61649294973718,8.64051272869683,7.02351983667481,6.16120880375006,6.1913122273589885,10.611511295154099,7.76217082749743,8.2436299076465,6.432089883925282,6.802020596081389,6.15911051512428,5.61574982068654,6.533510892116669,5.07113281803454,7.72546921225887,4.52205842307389,4.5930250168093485,5.996041787521468,7.0070879735428,5.55800230751221,1
6.81015880805022,9.65462775314222,9.206944432021212,4.14477244781158,6.07015932298051,6.97996778545763,7.12486509827048,11.2062065958417,5.0307707943126605,6.94531083708805,4.85892547522232,6.36504812711518,9.15417602047989,6.405260146350501,9.053023299688473,6.39997492972343,4.16761211045883,4.63973296733038,5.31208041291049,7.582441833243982,4.78687517435293,5.51427381980944,4.765326789174178,4.41998996234465,5.78422470908437,6.87184671912623,4.70229676903971,1
7.74166,7.36282,9.58628,8.76794,8.33745,6.4537,7.49697,8.45785,8.67014,6.273630000000002,3.91432,5.64821,9.93014,7.4092699999999985,9.44433,9.3073,4.24098,4.05278,4.00842,6.43125,7.018510000000001,8.43259,3.67362,4.9496400000000005,5.312,6.60478,4.9149,1
1432.9456527774698,915.898010475825,4582.54827141259,202.45196845850103,1157.4699356035,4.43302572462358,48.3199850106826,68.66635732404839,5.938640300875798,120.63008646975,103.580167516656,83.70113352252491,6516.63720238439,463.762929460963,6123.319318993311,141.151822731589,49.3753106451168,0.529715602889595,0.95658438311457,145.19652131875299,893.188961478255,1824.06201015724,2.4737068659441097,9.22705210920301,55.6495666215335,3.82633753245828,5.6023891520031786,1
8.25745,6.17447,7.8757100000000015,6.8244,7.35492,9.6868,7.33685,7.47607,4.03174,6.46036,8.2795,7.09532,9.03037,5.70101,8.08799,6.49383,3.06353,5.15468,4.08409,6.04996,8.82669,10.419,3.75663,3.78674,4.28875,4.2340800000000005,4.61144,1
12.0812,6.56676,8.03571,4.1624,6.75427,4.91522,5.92079,7.99581,3.94197,6.31709,7.0168300000000015,7.467219999999998,7.80658,6.15019,9.18986,10.4019,5.75269,5.17957,4.23289,6.02399,6.8670100000000005,6.79142,4.79433,4.85263,7.13133,5.5802,4.73705,1
9.34208,5.44128,8.230830000000001,4.59359,4.48773,5.33884,8.31889,5.94635,8.429680000000001,6.274769999999998,9.21608,6.67374,8.6211,7.2945600000000015,8.14846,5.66535,8.435089999999999,6.7512300000000005,4.0617800000000015,5.07718,4.33663,6.8956800000000005,3.47948,3.76759,5.44038,4.30221,8.136989999999999,1
11.5991,11.1051,9.76218,6.19997,7.4022,4.41155,5.83114,11.2261,4.58395,7.45783,3.09571,8.84097,5.4969800000000015,5.823919999999998,9.48368,6.16628,3.26009,5.5761699999999985,4.89379,7.45374,10.8169,5.25921,7.25022,7.60861,5.05995,5.06036,5.12329,0
9.70826,10.2353,10.3876,5.66758,8.36737,4.28825,5.1630699999999985,9.66578,3.72011,6.6915,3.27881,8.72729,5.8185,5.242000000000001,8.04845,6.90712,2.78954,5.66702,4.71592,6.87304,9.04091,4.3406400000000005,5.79633,6.738289999999999,5.98557,6.01509,6.07792,0
10.7688,9.80517,9.45934,5.49869,8.0767,4.2913,6.07544,11.605,4.20747,7.08079,3.14843,6.10827,4.67232,5.3095,10.7618,7.383139999999999,2.89341,4.58927,4.87849,7.91136,10.8699,4.334,5.84105,6.436,8.25658,4.56335,4.7972800000000015,0
