NRGN,TMEM243,HMHB1,PLAGL1,GATA2,CD3D,DHX32,GALNT11,MICALL2,PAX5,target
753.510136199626,302.82562303762,0.8596454971833491,3807.72734481704,1822.0048832301102,107.848558116761,790.6262164637019,514.276627093519,911.4908735282879,201.826035775065,1
8.46948,4.1214,5.25516,8.64575,8.3707,6.398219999999999,8.56349,7.6513100000000005,5.99814,5.25945,1
10.2369,8.22374,4.03736,8.315439999999999,9.22558,8.35848,8.12903,8.406989999999999,7.264939999999999,6.28052,1
6.347980000000001,8.33415,4.47498,9.24643,10.1021,7.91628,8.34269,7.7868699999999995,8.3073,4.77055,1
10.161145737399499,7.07269138517349,5.10578301759005,8.03028575542566,8.47631995086306,7.246549309141071,8.03006264696721,6.299026086427519,6.62181492476191,6.54577954503561,1
8.1253,7.4808,3.9249300000000003,10.2294,10.3487,7.073980000000001,8.781,8.00605,5.94663,4.05348,1
9.572330000000001,8.9818,4.143680000000001,7.7266,7.637980000000001,7.89608,8.06799,7.75745,6.25555,6.7015199999999995,1
5.57339,9.21968,5.97096,3.6652199999999997,5.7525900000000005,7.470439999999999,7.82022,5.39117,4.9321,10.5854,0
6.0863,9.59545,8.93573,5.75303,6.7574,7.46063,7.09686,4.68289,5.7695,10.0453,0
8.39379,7.8919,4.30363,7.6636,8.97681,7.65675,9.03171,7.310810000000001,6.35095,5.1436,1
9.28386,8.12593,4.04494,9.46017,8.50549,6.7442899999999995,8.03918,7.84306,8.34807,5.509530000000001,1
6.14728,10.1761,6.21753,5.86135,6.15235,6.77986,7.14918,6.1931400000000005,4.33582,11.3374,0
6.37401,9.50221,5.98526,4.285909999999999,6.22982,6.97801,7.13767,5.13812,5.08325,9.978860000000001,0
9.42186,7.229939999999999,3.88461,7.3788,5.89786,6.5936699999999995,8.31488,7.49608,6.65146,5.46555,1
6.86457,10.9203,5.62177,6.2021,9.80054,7.6551800000000005,7.901839999999999,5.6826,4.78408,8.45003,0
943.732631647404,591.399376767993,17.2633088819995,831.2443947562531,2758.0449522620097,2773.57902577784,157.393135376939,192.449786317552,429.675627070067,2189.62830219025,0
9.99098,9.98283,6.2870800000000004,6.30673,10.2239,9.83581,7.35177,5.94757,5.866709999999999,10.3149,0
7.1447199999999995,7.57135,4.26976,8.519680000000001,11.2483,7.67802,8.31063,6.58878,7.1172699999999995,4.40562,1
5.6635800000000005,10.0347,4.916869999999999,5.50251,7.03375,7.545210000000001,7.3934,5.82963,4.70878,11.3906,0
29.030181921449,347.789477934272,0.0,4306.94111024424,4074.3392507869103,26.455583221413196,711.362570471788,807.447048172995,1672.0690687099802,83.0094916287848,1
8.51566,8.388060000000001,3.9641,7.76042,6.8246,8.09714,8.16319,7.201339999999999,6.58328,4.32559,1
7.23562391195417,9.044627234764251,5.73768379067895,6.2684488835798895,6.53776665213997,9.8744896181174,7.65135349060505,5.25314849022472,5.598964609928651,11.0501229249662,0
8.51559,7.2142,4.02128,7.6506,6.99573,6.83966,8.03,7.88305,6.51631,4.453180000000001,1
6.85195,7.926710000000001,4.51317,3.6394,7.61534,12.25,7.58948,5.614719999999999,5.74519,4.62061,0
7.211998497923241,9.54845549691989,5.22767218614313,4.72128215646521,9.296632093403678,7.7214397379409405,7.74603541279138,5.36417592328429,7.00182203264506,10.0387025035894,0
7.6242322804068205,10.3558754139485,4.94494894647965,7.60174353937986,6.86670845145751,8.15950165426996,8.33878909613501,5.795723701101429,5.79234685882631,10.1224578773329,0
7.99155413193118,9.09752729734875,6.38413536956519,5.71135851306739,6.85991824630746,7.74985928810709,7.57256282809944,5.16369543261741,5.977395379766969,10.055995956839599,0
6.48447693649804,7.61585653793862,6.61471639588384,4.647006680114731,8.21350813350728,12.763333437642801,7.71615740455739,5.28060740294338,7.20435733047168,6.50515296584979,0
4.72,10.4744,7.147760000000001,3.8474800000000005,6.0185699999999995,7.2544,6.18746,6.23129,5.013669999999999,11.5786,0
8.33763,8.08042,4.28684,8.816310000000001,7.75663,7.7344,7.45015,7.74285,5.88968,4.38205,1
8.67548449992568,7.88644112190821,4.78233365632014,7.427887957033841,10.057821840817699,8.25581344026075,8.44565374242062,7.0426580975171795,7.20939845262166,7.38966177348254,1
7.7836239047296605,6.196306793535709,4.840443200613709,7.78994145310799,9.617331088815279,10.6213098522129,8.18318152988207,5.56675624443313,6.9921496287699005,6.559798855525349,1
8.36772859054746,6.812114475699969,4.87390859745885,9.549803520699141,9.90901822125857,7.02429047899116,8.47161068267169,7.15607203579721,6.69292784829317,6.413646286670559,1
5.58988,10.9266,10.1007,7.96696,6.456930000000001,9.415510000000001,7.2359,7.40825,4.589919999999999,10.719000000000001,0
