WARS,STMN1,SDCBP,CST3,SOX4,IFI30,TGFBI,AEBP1,COL3A1,TSPAN7,RER1,MATN2,IFI27,S100A13,LYN,DBN1,CD93,SIRPA,C1QB,SMARCD1,SSBP2,MAP3K5,MPO,P2RX4,JADE3,BCHE,MEOX1,CTSG,EREG,ADAM28,NPY,ASGR2,RHAG,ARG1,PF4,APMAP,CEACAM8,CCR2,DEFA4,MMP8,CRISP3,NAALADL1,HPR,S100A11P1,PSMA6,ANXA2P2,THY1,SLC1A5,CES1P1,SPP1,SEC31B,GABPAP,IRX5,DNTT,IGHV3-23,ATP6V0A1,RECQL4,GPS2,LST1,GYPB,ZNF423,ADAM10,KCNMA1,TRAF3IP2,ABCC6,ADA,SCNN1A,ENAH,PRKRIP1,MED28,POGLUT1,LPAR6,TMEM106B,THG1L,DACT1,DPPA4,MORN1,L2HGDH,CD244,ARPP21,VRTN,FOXRED2,TLR8,ASTE1,LINC00921,SEMA4C,PRR5,target
8.73955,7.50272,11.9023,7.2213,8.15603,10.7555,10.6069,7.39234,4.03087,3.48766,9.82346,3.98274,4.82365,7.67505,10.8405,7.06733,10.9725,9.57084,3.77758,6.60423,8.23479,7.40285,4.03087,7.32135,6.55154,2.7456,4.92404,3.62731,6.3258,8.96978,4.29246,7.9388,2.72438,4.77535,7.61246,9.58492,7.35148,9.22022,5.94056,5.39855,5.1549,6.00881,6.69046,7.04652,10.5914,9.12569,4.99899,5.34006,8.10254,3.95997,9.04047,5.81764,3.28626,5.29002,6.76535,6.87411,4.71737,10.7186,10.3527,4.64522,4.10578,7.09084,5.09188,6.8674,5.53949,8.30483,5.37704,4.85778,9.06766,8.5996,8.69003,9.86051,8.02099,7.28774,7.24126,4.8936,6.63992,4.38911,9.31568,4.1973,5.95234,6.10196,7.84787,7.62521,8.09443,7.60227,7.88635,0
7.92359627156347,8.90073766821779,8.55902799674196,7.70700821681624,10.853113361168,10.1203321906891,7.08847295157844,8.09326158526557,5.31989548639659,6.85630032909589,7.82801983635331,4.27635300084763,9.87810491962115,7.87297797623687,5.93345901307654,8.22175028347998,8.96530011873952,7.53970700134667,5.91298061573475,7.4651253440489,7.80499463623352,6.37740157496352,9.75068128538717,7.71491640726285,6.0370099661196,4.10609348264804,4.3569307808646,8.64377239194366,4.15519288403691,5.92163724199981,9.09477884075224,6.85577276336693,6.25410566106795,8.89953331732141,7.36689383760763,9.57967644603768,8.67726106169442,7.32412767465017,8.00112870734054,9.10281074091927,5.5375134409055,5.85945858170225,5.58978060971128,7.57592160494282,12.1118966706467,8.63943066464294,6.65719811809978,8.71840528446642,6.83417575347808,4.92660418533993,7.69143739964156,6.9205588079571,5.30411272687657,11.4849319951765,9.23083288027628,8.46361242716056,7.13967405707184,8.78686649058828,9.12741318483756,9.56008634317578,7.09721718682156,6.61541057185396,5.78560742855765,9.52029520900649,6.2413122700179,9.55651583115107,6.41899453913423,4.98281083714103,6.86605037059475,7.14167733756871,7.65418628790413,5.43960444917656,5.37629735447137,6.69565851677645,5.20517699092644,4.51234606178119,7.01953042054834,5.09205501637426,6.84311418165383,4.66136613631949,6.71386088553052,6.9901514812303,6.0490633266247,7.13589622837302,6.73734288290494,7.46168848787648,8.02567967617984,1
7.7481,10.5009,9.61364,5.87324,12.197,9.33377,5.43969,9.67758,4.08399,9.52603,8.43129,3.25656,6.93983,6.96411,6.11219,10.2033,9.49042,8.32516,4.05402,7.92963,11.2119,5.36231,5.37142,7.19184,7.12268,2.83222,3.83419,6.02087,3.67369,4.47024,11.4613,5.90201,5.09111,5.12886,5.06857,8.4273,4.75048,4.18072,7.37904,5.22865,3.66922,4.69458,4.33138,5.43976,13.2383,7.47314,5.50305,6.70403,4.54796,5.88346,7.85956,6.25124,6.10275,13.4409,5.25195,6.09024,6.91342,7.7886,10.9989,6.34003,9.86279,7.4574,4.59978,9.81225,4.14459,11.3708,5.49999,7.52506,9.62393,6.88797,7.40728,11.2639,7.73752,4.86287,5.41908,3.09072,6.97115,5.14228,5.63496,11.2922,5.41518,7.61606,3.69519,6.45118,5.89716,5.57004,7.4858,1
6.56623,9.22757,10.3819,5.12334,12.2874,9.28819,5.56721,7.79923,4.31038,8.64941,6.92273,3.28969,12.416,9.83976,7.31935,9.16245,6.36327,5.66506,4.38788,7.86143,9.92866,4.98348,4.22608,7.7154,6.92806,2.98125,4.54373,5.94875,3.45976,5.44928,11.1658,5.71058,3.45381,4.54588,4.49176,8.14454,3.79131,3.48476,5.16254,4.31331,3.19807,4.72769,5.22479,5.52988,12.055,9.08218,5.90429,7.05945,5.26177,4.45583,7.30394,8.37375,4.52185,13.0963,6.04578,6.98573,6.37494,9.72268,9.9089,5.15526,8.28173,7.66211,4.64358,9.84902,4.28538,10.6864,5.77937,6.48674,8.65375,7.95254,5.28786,10.9078,6.54181,5.73605,5.31927,3.25073,7.10421,5.21213,5.07143,8.44361,5.73438,5.66313,3.67184,5.80117,4.39244,5.78637,5.53201,1
7.8381646074579,9.57610679895692,6.6779146311979,5.53502781465348,11.5579175747281,9.20959872474331,6.58605971101646,8.11938077603414,5.69789989153047,6.14020997794559,6.71823548254729,4.18834749219501,6.10584043681058,8.36294155646037,5.92298843591658,7.99047146826081,6.39607782192037,6.6396829650963,5.8004980738488,7.70309893103447,7.81641855386718,6.00311656133479,6.17755684054988,7.54127972810188,5.3441635505894,4.1875809153904,4.41416610060317,7.27888185226046,4.17440258246032,5.50591697179653,10.792883891413,6.59545640517092,4.45397249394455,5.82187588801543,7.68436133429642,7.07647896823557,4.70920165859851,5.66559580107729,6.93321709754934,5.81962868279244,4.06640132764462,5.61411357527961,5.09546366699114,6.21196860908323,12.0484934629329,9.06211843494588,6.93431262420496,8.44421643018437,6.54476319699715,4.81058369686787,7.65036415349913,7.36329810958865,5.07548075804395,10.6977030441565,10.7722442270131,8.15869449447373,6.97596682237036,10.7373623555529,9.51883946340882,6.52427772827946,7.45813231187021,5.13165545934156,5.33190467686251,10.1004739316746,6.19659740949468,9.12827619340403,6.66895951232333,4.75611243811304,7.27498763192124,8.27031288796943,6.95762557439421,7.08111439450364,4.80037009284474,7.26985922753721,5.85811134464099,4.41033384584549,7.24227332829626,4.75482889561779,6.84606549684552,5.95128438138623,7.18748029313242,6.85775702091448,5.91318134816308,6.51828966524356,6.51899274297004,7.09913299010089,7.65218225756072,1
8.88522,5.35283,13.0416,11.5571,9.22822,12.6999,10.9044,5.77876,4.1343,4.61052,8.96171,3.13397,5.16609,6.29153,11.3857,6.16037,11.7118,10.4561,5.21478,6.41169,7.29938,9.19331,5.24955,8.78282,4.34248,2.92983,4.23303,5.15056,5.78571,6.9252,4.4142,10.1417,3.43888,12.5221,11.3976,10.8292,8.07162,11.5056,7.09654,9.94443,7.50288,5.07191,8.17829,11.3403,11.2475,10.5687,5.48161,6.63876,9.25538,3.67816,6.65425,6.35913,3.81152,4.63967,5.75883,8.27987,6.0171,8.02925,10.7436,7.5947,3.89037,9.10806,4.57002,6.99555,5.10174,6.77703,5.66022,3.93246,7.7726,7.22357,7.8369,9.06903,7.29778,6.4766,3.96833,3.31779,7.06413,4.84533,7.8163,3.7715,5.9594,5.91293,12.3046,6.72533,6.30839,6.68056,6.38463,0
7.26833570146792,8.32404415731014,8.69831342521993,6.10915848642885,10.7819887643104,9.0195342616358,7.10287795209355,7.3121547452519,5.56676816623919,7.51694104375558,6.9036720152775,4.3374407676245,6.51837671018092,7.90239099687515,6.34753135266451,8.45631654655618,7.25993826098796,6.84785423619302,6.41614663859086,8.47187354794909,8.48860237257802,5.85170102161705,9.6365262390034,7.40582531533229,5.42030245537617,4.18014562703081,4.26845559357697,7.27652849405357,4.33474309354159,5.12054755543677,10.7494705904118,7.22093608527398,4.96224678479847,6.24126846219609,7.3847641935537,8.53577940862212,5.13822498627872,5.81162666784798,7.6840523920359,6.59492268125002,4.0281287027705,5.53040297933548,5.55278861863297,6.7140098378226,11.3497108580138,8.93172533002152,6.47080464607991,8.22846796915205,6.39744104156623,5.59158995589747,7.82520651401495,6.36295001155372,5.18775011355524,10.6113362663132,7.50844495823109,7.52454655148178,6.01343448669068,8.39663821463748,8.65216784430666,6.89541386543852,6.85771776333446,5.50546189655909,6.18489763075365,8.95901377618276,5.80004086213594,9.30478885867439,6.06232366231504,6.08120380782302,7.79662483341969,7.31621517579896,7.1923584486232,8.60863262971614,4.71939321683696,7.73129853005347,5.42186200439185,4.71093105376416,6.84662895646448,4.93580815548215,6.60403736000691,4.59263236544939,6.49028417406599,6.93032537968335,5.53695956390302,6.59754563681455,6.53108744558573,7.09433278395703,7.52991200111851,1
8.34915,8.73505,6.04509,7.48445,11.7641,10.5738,4.74235,7.56129,4.91663,7.59959,8.45749,3.23071,6.20387,9.89444,9.09563,9.24773,7.36997,5.50339,4.50179,7.78911,9.9817,6.35175,10.394,6.78493,5.97431,3.00917,4.91582,5.20241,3.64318,4.16758,4.74394,6.68811,3.95835,4.63234,6.12106,8.63442,3.29525,5.23282,4.91647,4.44852,3.58649,6.10348,4.46894,5.85738,12.2872,9.23473,5.93356,6.98093,5.43812,9.59449,7.58321,6.36685,5.19579,13.0004,6.78975,8.00966,6.08228,9.62766,7.78108,5.99959,9.09001,6.61274,5.06956,9.28268,3.8811,10.9937,6.54188,7.87367,8.72876,5.56545,6.8063,11.6264,6.66541,6.87381,3.84537,3.1067,7.61668,5.83584,4.87249,4.16916,6.49217,6.33865,3.77742,5.23603,4.02083,5.99056,6.1898,1
8.13729,10.8696,10.5652,8.33122,13.0574,9.3615,5.17201,9.42482,4.45913,10.2341,8.00293,3.2713,4.75444,6.52089,7.90318,9.41927,9.11456,5.19357,4.07481,7.91952,10.024,5.01607,7.07089,7.93477,5.61015,7.57364,4.34661,8.88177,5.90501,3.99755,4.48561,5.57551,3.66641,7.63309,6.67141,8.72358,8.2662,4.50649,10.0387,8.75405,7.02274,3.97196,5.87309,8.18598,12.7599,9.84008,5.64331,6.83125,5.81559,4.18915,9.25365,6.95092,8.8265,13.0377,5.79189,6.8864,7.54297,7.45842,8.51555,5.7124,11.8184,6.09451,4.55502,10.0884,4.17847,12.6348,5.78099,4.35711,9.04584,6.8058,7.03946,12.0166,8.7425,6.78093,5.03699,3.11744,7.44343,5.00381,6.40571,9.79751,5.95172,7.05299,4.07875,6.74032,5.58537,5.60922,9.28636,1
7.22176,8.4845,6.92593,6.44627,11.7872,9.1598,5.55342,10.2594,4.91249,7.18271,8.49711,2.82896,5.36539,9.44086,7.78411,9.07762,8.01604,6.00232,4.42276,7.66125,10.6837,6.53406,8.80085,7.75392,5.61968,2.86517,5.05461,5.83047,4.31712,4.74409,5.38473,6.2449,5.6958,4.62154,6.71609,8.30005,4.18934,3.81347,5.85609,4.29926,3.26507,5.11128,5.07399,5.55574,12.6908,8.22989,5.63437,7.41188,5.23647,7.65177,7.2455,6.33379,5.41391,12.4927,5.94128,6.91314,6.88648,9.97546,7.73448,6.72428,9.52351,6.11064,4.9151,9.89846,4.28921,10.9095,6.49432,7.28414,9.10498,5.43974,6.71456,10.7595,6.01023,5.70895,6.10214,3.53668,7.69724,5.62275,6.14148,4.18748,6.69894,6.55848,3.5887,5.38975,4.11795,5.97252,6.20679,1
