STMN1,SOX4,TGFBI,TSPAN7,S100A13,LYN,CD93,SIRPA,SMARCD1,SSBP2,MPO,JADE3,CTSG,EREG,NPY,RHAG,PF4,APMAP,CCR2,MMP8,NAALADL1,THY1,SPP1,GABPAP,IRX5,DNTT,ZNF423,TRAF3IP2,ABCC6,ADA,ENAH,LPAR6,DPPA4,CD244,ARPP21,ASTE1,SEMA4C,target
7.50272,8.15603,10.6069,3.48766,7.67505,10.8405,10.9725,9.57084,6.60423,8.23479,4.03087,6.55154,3.62731,6.3258,4.29246,2.72438,7.61246,9.58492,9.22022,5.39855,6.00881,4.99899,3.95997,5.81764,3.28626,5.29002,4.10578,6.8674,5.53949,8.30483,4.85778,9.86051,4.8936,9.31568,4.1973,7.62521,7.60227,0
8.90073766821779,10.853113361168,7.08847295157844,6.85630032909589,7.87297797623687,5.93345901307654,8.96530011873952,7.53970700134667,7.4651253440489,7.80499463623352,9.75068128538717,6.0370099661196,8.64377239194366,4.15519288403691,9.09477884075224,6.25410566106795,7.36689383760763,9.57967644603768,7.32412767465017,9.10281074091927,5.85945858170225,6.65719811809978,4.92660418533993,6.9205588079571,5.30411272687657,11.4849319951765,7.09721718682156,9.52029520900649,6.2413122700179,9.55651583115107,4.98281083714103,5.43960444917656,4.51234606178119,6.84311418165383,4.66136613631949,7.13589622837302,7.46168848787648,1
10.5009,12.197,5.43969,9.52603,6.96411,6.11219,9.49042,8.32516,7.92963,11.2119,5.37142,7.12268,6.02087,3.67369,11.4613,5.09111,5.06857,8.4273,4.18072,5.22865,4.69458,5.50305,5.88346,6.25124,6.10275,13.4409,9.86279,9.81225,4.14459,11.3708,7.52506,11.2639,3.09072,5.63496,11.2922,6.45118,5.57004,1
9.22757,12.2874,5.56721,8.64941,9.83976,7.31935,6.36327,5.66506,7.86143,9.92866,4.22608,6.92806,5.94875,3.45976,11.1658,3.45381,4.49176,8.14454,3.48476,4.31331,4.72769,5.90429,4.45583,8.37375,4.52185,13.0963,8.28173,9.84902,4.28538,10.6864,6.48674,10.9078,3.25073,5.07143,8.44361,5.80117,5.78637,1
9.57610679895692,11.5579175747281,6.58605971101646,6.14020997794559,8.36294155646037,5.92298843591658,6.39607782192037,6.6396829650963,7.70309893103447,7.81641855386718,6.17755684054988,5.3441635505894,7.27888185226046,4.17440258246032,10.792883891413,4.45397249394455,7.68436133429642,7.07647896823557,5.66559580107729,5.81962868279244,5.61411357527961,6.93431262420496,4.81058369686787,7.36329810958865,5.07548075804395,10.6977030441565,7.45813231187021,10.1004739316746,6.19659740949468,9.12827619340403,4.75611243811304,7.08111439450364,4.41033384584549,6.84606549684552,5.95128438138623,6.51828966524356,7.09913299010089,1
5.35283,9.22822,10.9044,4.61052,6.29153,11.3857,11.7118,10.4561,6.41169,7.29938,5.24955,4.34248,5.15056,5.78571,4.4142,3.43888,11.3976,10.8292,11.5056,9.94443,5.07191,5.48161,3.67816,6.35913,3.81152,4.63967,3.89037,6.99555,5.10174,6.77703,3.93246,9.06903,3.31779,7.8163,3.7715,6.72533,6.68056,0
8.32404415731014,10.7819887643104,7.10287795209355,7.51694104375558,7.90239099687515,6.34753135266451,7.25993826098796,6.84785423619302,8.47187354794909,8.48860237257802,9.6365262390034,5.42030245537617,7.27652849405357,4.33474309354159,10.7494705904118,4.96224678479847,7.3847641935537,8.53577940862212,5.81162666784798,6.59492268125002,5.53040297933548,6.47080464607991,5.59158995589747,6.36295001155372,5.18775011355524,10.6113362663132,6.85771776333446,8.95901377618276,5.80004086213594,9.30478885867439,6.08120380782302,8.60863262971614,4.71093105376416,6.60403736000691,4.59263236544939,6.59754563681455,7.09433278395703,1
8.73505,11.7641,4.74235,7.59959,9.89444,9.09563,7.36997,5.50339,7.78911,9.9817,10.394,5.97431,5.20241,3.64318,4.74394,3.95835,6.12106,8.63442,5.23282,4.44852,6.10348,5.93356,9.59449,6.36685,5.19579,13.0004,9.09001,9.28268,3.8811,10.9937,7.87367,11.6264,3.1067,4.87249,4.16916,5.23603,5.99056,1
10.8696,13.0574,5.17201,10.2341,6.52089,7.90318,9.11456,5.19357,7.91952,10.024,7.07089,5.61015,8.88177,5.90501,4.48561,3.66641,6.67141,8.72358,4.50649,8.75405,3.97196,5.64331,4.18915,6.95092,8.8265,13.0377,11.8184,10.0884,4.17847,12.6348,4.35711,12.0166,3.11744,6.40571,9.79751,6.74032,5.60922,1
8.4845,11.7872,5.55342,7.18271,9.44086,7.78411,8.01604,6.00232,7.66125,10.6837,8.80085,5.61968,5.83047,4.31712,5.38473,5.6958,6.71609,8.30005,3.81347,4.29926,5.11128,5.63437,7.65177,6.33379,5.41391,12.4927,9.52351,9.89846,4.28921,10.9095,7.28414,10.7595,3.53668,6.14148,4.18748,5.38975,5.97252,1
7.36864657072327,7.9724305360556,10.5953684686628,5.88290533332144,6.78139001823996,8.99115132620755,9.71066904075594,8.14550775159091,7.16923602933969,7.01220940442424,5.86613595158501,4.92434605058597,6.54616686028225,4.02935121023913,5.74942099978793,3.89922549464676,11.7261325378882,9.76296078008962,9.50349358697648,5.4999103812338,6.18263077999847,6.51152618764731,4.45000746145971,5.82724229127924,4.93941766811681,5.49730658634794,5.01420347736418,8.24109971280642,6.22804402604254,7.95693971574391,4.59992390604655,8.05126246792051,4.28923598958951,8.6010828995792,4.36099991871991,7.46352206418625,8.10789377348965,0
9.37722,11.7436,6.35246,9.04086,9.22396,5.63561,6.51576,6.12843,7.25211,9.36917,8.81987,7.06674,4.98426,3.52538,11.9757,6.7992,5.45335,7.71484,4.62084,3.97514,5.05327,6.1623,5.37891,7.22331,4.29112,13.5806,8.67916,9.0655,4.80523,11.2518,6.557,10.4559,3.84759,5.05312,4.95845,5.78538,5.44655,1
8.05276,12.46,6.30853,8.19731,5.22086,6.67842,6.51938,5.52516,6.85168,7.05958,5.70147,6.08822,6.49384,4.53779,5.34444,3.94467,5.5893,7.17772,4.33456,3.97924,4.83922,5.74342,3.88919,7.01652,5.27537,6.02368,4.30343,7.86079,5.13583,9.86772,6.20768,9.77317,3.65083,6.81372,7.97659,5.59378,6.24246,1
9.25943,13.0234,5.18814,4.47275,9.10885,7.25259,5.13508,5.38843,8.31923,10.5954,5.35008,6.57268,7.49506,4.06282,6.8989,5.92059,7.1747,7.3738,4.40298,8.31041,4.78695,5.36881,4.09854,7.78933,4.67245,12.5683,10.763,9.16812,4.30503,11.1485,8.44419,8.96822,3.32758,5.6157,10.5103,5.45234,10.3046,1
9.78115,11.933,5.86499,3.83996,8.2468,8.49572,5.79473,4.47281,8.65287,10.6538,6.79098,8.9145,6.6451,3.7677,10.8107,3.9258,5.61763,10.1293,4.0048,7.58813,4.42185,5.62376,6.34606,7.10034,4.95198,13.4431,7.31757,10.2414,3.71597,11.5221,7.29481,9.67262,3.66627,4.92113,9.05623,4.95856,7.56069,1
8.16951331812963,8.24187201699617,10.6622455994339,5.35195870452269,6.79185199508951,9.02629805407447,9.93901610856795,8.39211517156415,6.33997350985453,7.60023784635895,5.66816414336338,4.56804140696932,6.81184700668205,3.95560841437279,5.198376409049,3.69929456086045,10.4845096966295,9.44913282183722,10.269642451921,5.09419657157338,6.25525860206284,6.33740485279559,4.65413777014586,5.55588222445859,4.70572962283229,5.24262091838776,4.8363447605123,8.62885460678267,5.60325090145116,8.34483006636034,4.88308763728669,8.51889018385712,4.43035803135682,8.69400345733399,4.18233069421143,8.06029166983556,8.37486479608775,0
8.49748,11.8804,8.49677,7.67972,10.0836,9.78155,7.22753,7.59407,8.00891,10.6991,9.95863,6.76825,12.1225,4.23606,4.88647,3.17392,6.11638,10.1621,4.01583,10.9852,5.81842,5.75107,4.83466,5.98426,4.14845,12.8207,9.57265,9.90581,4.97988,9.92687,6.28252,11.4839,3.27124,6.94104,4.21291,5.9987,6.30786,1
7.67663,11.9704,9.32593,4.03886,8.12301,10.5503,7.65612,8.80185,8.04458,7.94197,9.80009,4.54217,10.6661,9.51178,5.33994,5.73013,8.9655,10.4249,3.80456,11.4518,5.48037,5.68398,6.20605,6.54541,5.5107,8.82039,6.01281,8.37828,4.61206,9.59593,5.50335,6.69251,3.12791,5.07172,4.17292,7.27021,7.68934,1
7.74695,11.9093,5.35422,6.78351,8.65469,9.00437,6.66968,5.88362,7.93295,9.98993,5.65834,7.53327,6.69392,8.7829,6.09237,3.61255,5.98031,9.34476,3.41038,6.7068,5.24936,5.77053,4.24109,7.25142,10.0636,4.79983,4.53041,9.25314,3.59701,8.58579,3.69975,8.76828,3.35885,4.78212,5.24396,6.76849,6.32163,1
9.04698,11.7912,6.45194,8.33987,9.85582,6.84659,4.51657,6.86066,7.99035,10.7082,6.91458,5.88451,8.53462,4.21132,6.24293,3.61715,6.25315,8.3651,3.54348,6.65516,6.0808,6.83522,4.38926,5.64252,4.98797,13.231,9.14305,9.67026,4.38044,11.0363,3.99761,11.4522,3.34133,5.40308,9.46771,5.4907,5.11664,1
6.48258,5.99585,10.6499,4.40198,6.20103,10.1205,10.0712,8.59288,7.31214,7.27551,5.89785,3.98312,5.37185,3.58722,4.72422,3.49053,10.3957,9.71155,9.25754,4.72395,4.95926,5.44896,4.33946,5.67295,3.86261,4.74601,3.78665,7.15775,5.24196,8.49543,3.93507,8.07961,3.03565,7.30299,4.50029,7.28302,7.61678,0
10.4348,11.8093,5.85916,9.09519,5.70825,4.67418,6.60581,5.72117,8.41945,8.40842,5.78123,6.28503,6.19704,5.65373,5.01208,3.75131,7.00586,7.46334,4.13674,4.04606,4.42142,5.94693,4.28553,5.30629,7.3803,10.0672,9.55191,9.06322,4.7446,11.9104,3.94463,10.0882,3.8525,6.68046,6.84692,5.99598,6.58076,1
11.6615,12.5914,6.64856,9.7748,6.22755,7.34348,7.93779,5.16358,7.94684,10.3067,7.65894,7.97234,7.65681,7.71641,4.1662,5.82204,5.91156,8.92971,3.83155,7.2313,4.60978,5.1569,4.21011,7.52284,7.40695,12.1804,10.9945,8.43998,4.04936,12.088,6.60042,10.832,3.43784,7.8756,8.84704,6.98958,6.72096,1
10.4056,12.2217,6.90288,9.14051,6.39232,9.03759,7.87436,7.30174,8.08791,9.45511,10.1985,6.77183,12.1602,7.89143,5.25946,7.70993,8.742,9.58129,3.41755,11.7748,4.76968,5.19362,4.81753,7.02106,8.26362,12.5632,8.95509,7.94178,4.6827,12.6298,6.58558,10.7752,3.89522,6.00957,7.94394,6.44993,6.1595,1
7.41349,10.4409,5.55865,6.12404,7.27115,5.4308,4.51766,5.02648,7.01091,9.774,9.26392,5.05758,5.60093,5.19859,9.57386,7.34267,5.35225,6.37732,4.59939,5.0079,5.31993,6.49377,4.40809,6.69737,3.9998,12.8371,5.90692,8.28288,4.872,10.5947,5.89346,8.98986,3.923,5.4478,4.98465,5.45466,5.43155,1
6.17638,7.31832,10.9586,4.34273,5.79783,10.184,9.95096,8.36716,6.77337,8.11885,4.50521,4.3193,5.99915,3.69781,4.64467,3.53963,12.4792,9.59248,10.3719,4.50706,5.81894,5.52814,3.35477,6.33573,4.07536,5.13164,3.86177,7.64432,4.76337,8.73542,3.66432,11.0691,3.6979,8.8041,4.36622,7.47836,7.92739,0
10.635,10.6007,5.3839,4.62626,6.77266,10.1688,5.15654,5.88704,7.1647,8.22962,10.311,6.95671,9.86151,8.80035,4.57887,6.59704,7.21242,9.07256,3.4622,4.85848,5.33433,5.56299,4.21934,4.74246,4.52899,10.6269,3.61602,7.73631,3.91666,9.4509,5.60927,4.73208,5.48258,6.8025,4.41393,7.2297,9.06866,0
7.23640119317889,6.23070997767756,9.88238260981125,6.56075082571699,6.51280013103215,10.9474832866846,10.708802214914,9.87865155324548,7.06812965942184,6.36113626272056,5.7312605372697,4.97982420836871,7.29637308457146,4.32062571372656,6.02197877563294,4.7108947795031,11.1023063743465,10.5198339415652,8.63138062798169,6.4328491344213,5.36207521408214,6.5669254653622,5.10027379509553,5.58588505637329,5.23069307626167,5.1988146825286,5.5925625043148,7.87728553544312,6.54254296569913,6.44786743375835,5.23071412398801,7.64313701067979,4.58142387322872,7.75293182946677,5.21146718705756,6.92369147906739,7.56461272195977,0
9.57822,11.4078,7.14601,5.78696,7.27073,10.1475,7.77772,5.37941,7.75497,9.34586,7.23094,6.05427,5.45629,3.99685,11.0644,3.91513,7.88571,8.41584,3.98853,4.06492,5.01481,5.73318,4.67866,6.85232,4.53321,11.0745,4.9897,10.0051,4.2628,10.9789,4.94984,9.82295,3.23884,5.55169,5.29307,6.19552,7.00222,1
