SARS,CST3,AEBP1,LTBR,NRGN,TMEM243,MYB,RHOH,HOXB2,ADAM28,CD33,CD3G,HMHB1,HPR,PRKD2,PLAGL1,GATA2,SBF1,CD3D,CTSW,DHX32,GALNT11,MICALL2,ATP8B4,PAX5,RTN2,target
1842.4240756802699,7089.14665900968,317.393767607181,1877.8524572575,753.510136199626,302.82562303762,4021.2101861127203,1409.69755715022,837.787787436742,5747.268002960401,1323.19140717236,39.6761770137807,0.8596454971833491,0.6107026747154649,1389.62424108807,3807.72734481704,1822.0048832301102,2982.21868648355,107.848558116761,2498.72362556062,790.6262164637019,514.276627093519,911.4908735282879,3438.90698805825,201.826035775065,79.5990389624638,1
3.96251,12.7515,6.2698599999999995,8.09633,8.46948,4.1214,10.6538,6.854360000000001,8.93201,7.552410000000001,7.96665,4.4134199999999995,5.25516,6.48055,5.5067900000000005,8.64575,8.3707,5.4244,6.398219999999999,8.20957,8.56349,7.6513100000000005,5.99814,9.60973,5.25945,6.152819999999999,1
4.7704699999999995,11.9361,6.19641,9.61469,10.2369,8.22374,10.5149,7.416060000000001,9.50579,7.675960000000001,10.2181,5.65751,4.03736,7.71315,6.78413,8.315439999999999,9.22558,6.6142,8.35848,10.0931,8.12903,8.406989999999999,7.264939999999999,8.78962,6.28052,6.27872,1
3.9230699999999996,10.1351,6.24202,8.7917,6.347980000000001,8.33415,11.3554,9.141960000000001,9.45452,9.63322,9.87086,5.42243,4.47498,5.485180000000001,6.7918199999999995,9.24643,10.1021,6.87758,7.91628,11.269,8.34269,7.7868699999999995,8.3073,9.98202,4.77055,6.27642,1
8.304429468367589,11.0749174121255,6.71821399770342,7.907199205654299,10.161145737399499,7.07269138517349,9.529313593335369,9.64988934211911,8.010801448329751,8.59576660616215,8.88627111230849,6.02325719790458,5.10578301759005,6.59961641855895,7.61195205464532,8.03028575542566,8.47631995086306,7.85626717290675,7.246549309141071,10.306926134416198,8.03006264696721,6.299026086427519,6.62181492476191,6.227562757123961,6.54577954503561,6.54898243624204,1
5.06797,9.5247,7.01653,8.13193,8.1253,7.4808,10.9251,9.91507,10.1405,9.52464,9.74359,5.15057,3.9249300000000003,5.33179,6.717410000000001,10.2294,10.3487,6.10458,7.073980000000001,11.2273,8.781,8.00605,5.94663,9.94548,4.05348,5.76893,1
4.18109,11.5903,6.45319,9.610380000000001,9.572330000000001,8.9818,9.89146,8.000639999999999,6.3419300000000005,5.11624,10.0103,5.61508,4.143680000000001,8.93239,6.43918,7.7266,7.637980000000001,6.52607,7.89608,7.236839999999999,8.06799,7.75745,6.25555,7.242610000000001,6.7015199999999995,7.00546,1
5.481730000000001,6.36607,7.589060000000001,6.60118,5.57339,9.21968,11.3317,10.1781,6.3754599999999995,7.11603,5.67813,6.08437,5.97096,3.68062,9.60347,3.6652199999999997,5.7525900000000005,7.960710000000001,7.470439999999999,8.02694,7.82022,5.39117,4.9321,3.5352699999999997,10.5854,5.07258,0
5.35114,6.08875,7.690989999999999,7.35623,6.0863,9.59545,11.1742,10.5956,6.19594,4.50104,6.3437,5.13627,8.93573,6.24531,9.854610000000001,5.75303,6.7574,8.3635,7.46063,6.83363,7.09686,4.68289,5.7695,3.1699599999999997,10.0453,5.09615,0
4.06876,11.8325,6.8166899999999995,8.986289999999999,8.39379,7.8919,9.391169999999999,6.8396300000000005,8.21238,8.69932,10.0445,5.476780000000001,4.30363,7.412719999999999,6.814139999999999,7.6636,8.97681,5.38066,7.65675,8.49957,9.03171,7.310810000000001,6.35095,7.113360000000001,5.1436,5.51945,1
