WARS,SDCBP,CST3,COL3A1,RER1,MATN2,IFI27,DBN1,C1QB,SMARCD1,JADE3,MEOX1,EREG,PF4,APMAP,DEFA4,CRISP3,NAALADL1,S100A11P1,ANXA2P2,CES1P1,SEC31B,GABPAP,IRX5,ATP6V0A1,GPS2,GYPB,TRAF3IP2,ABCC6,SCNN1A,ENAH,MED28,TMEM106B,DPPA4,L2HGDH,VRTN,FOXRED2,ASTE1,SEMA4C,PRR5,target
7.5921689744365,8.83850308651976,6.1514409542535695,5.38201509263242,6.9861880253784,4.224579941704681,6.06542796957696,7.2984340083334995,5.81931362656221,7.21648746297109,5.32738299464882,4.51250584040174,3.9587213222427304,7.25818677464751,8.357008414934231,8.58864089480074,4.60501745964415,5.42175202607234,7.7625299696128405,7.8348059846579,6.2147885391043305,7.439192091705871,5.149143564456669,5.4528706049418405,7.7576616502097,9.655296897148661,6.81899611677256,8.49647164915238,6.030817584788541,8.61623401756356,4.90081823895792,6.74496247022369,4.53421514614655,4.4823421602216795,5.21056587319071,7.99262184181731,7.18210011944475,6.811301082031241,7.15413140450822,7.7479415068448905,1
7.155810000000001,8.597999999999999,5.81154,5.57095,5.99507,3.2484,5.77896,7.749,4.1794199999999995,7.50522,5.85152,5.20995,4.40564,5.88234,7.75478,5.84157,3.0821,5.06236,6.32774,7.909330000000001,6.01591,6.6235100000000005,7.39727,4.85565,8.004380000000001,8.36779,7.40936,8.67857,4.5633099999999995,7.13168,4.914969999999999,5.19425,6.05452,3.7798599999999998,5.58125,7.29375,7.0371,5.630669999999999,8.18484,6.1822,1
8.02440564345437,9.60380548324038,7.27112334319162,5.09096516039605,7.60591293839468,4.12184870079892,6.723200806342,8.32284859703761,5.5951671990904295,7.53162834800462,6.366959903576349,4.09226550381801,4.1545804244877305,6.7479060868837095,9.3524796374516,12.0126713883491,6.55728254498257,5.2401800028968095,7.00207356565956,9.21573689531785,5.93341082523508,7.58517703226738,7.00594004660316,5.2230724861454005,7.6193462199646,9.08489046698271,5.73162815088753,10.5468649508439,5.927783361844099,6.25403036498462,6.88551700375013,8.04533540353212,5.530471816446481,4.43101824824478,5.1403755199925705,6.65318988201096,7.246701444947621,6.71768616057283,6.78649054931643,7.5938781332429,1
8.384836164430691,8.02582698590583,5.44317219413218,5.663897238262581,7.23520858456826,4.66069413029142,8.24530849411275,7.91901332505306,6.424624046669741,6.638816996506191,4.965899363655081,4.67189261167154,4.64185095186934,7.10919346438957,7.81674636194129,6.17695694846822,4.59760003912283,5.036318689449769,6.24751506407709,8.5796463406861,6.0401477530669405,7.09622839731052,6.5758752757132495,5.83544763268742,7.5781360634357595,10.979263969198199,7.858630074765769,9.307606437043429,5.70456365295282,6.63915135184371,4.97324181775912,8.12836780144522,4.5254525286272305,4.700825034794231,4.87800456136695,7.8466472664517,5.79297771910238,7.379144942947941,6.54515267688763,7.57607702004565,1
10.4257,11.7477,11.3956,4.26728,8.70549,3.4507199999999996,4.89778,6.66908,4.62704,7.34024,3.65036,4.43914,4.7195800000000006,12.4638,9.87502,4.89579,3.05768,6.0804800000000006,9.505239999999999,10.892999999999999,7.903760000000001,7.31428,5.2465,4.24736,7.951639999999999,10.2521,6.023,7.4,4.9244699999999995,5.95319,3.74514,6.0688699999999995,8.31292,3.30829,4.94773,5.746580000000001,6.15891,6.388380000000001,7.67405,7.39249,0
9.383280000000001,10.0541,4.95627,4.74052,6.838589999999999,3.20223,8.996310000000001,8.028310000000001,3.92731,8.22987,7.894589999999999,4.40123,3.7158800000000003,5.20951,7.2876,4.87556,3.12817,4.77543,4.91095,8.40995,4.7919599999999996,7.80911,7.731839999999999,4.711180000000001,6.47778,8.39821,5.61718,10.5132,4.1272199999999994,6.71528,5.63163,7.174869999999999,7.86287,3.02507,4.77836,6.987610000000001,6.0647199999999994,5.5923300000000005,5.60485,5.45012,1
7.11678,8.7544,7.8992,5.01294,8.53308,3.11002,6.2939300000000005,10.5608,4.89881,7.86497,6.18853,5.46075,4.71316,6.08099,7.97535,5.24456,3.56659,4.80791,5.0239400000000005,7.7747399999999995,6.01009,7.4917,6.95551,6.05339,6.2419400000000005,9.2699,5.87857,9.73356,3.9267300000000005,7.2849699999999995,5.49723,6.36642,5.5826400000000005,3.12739,5.34331,7.1855899999999995,6.2095,4.25929,5.84809,5.97616,1
6.1233,8.07388,7.1949,4.81956,6.95162,3.2507900000000003,5.21421,9.29137,4.25283,7.95096,6.216419999999999,4.47091,3.95517,6.51478,6.835780000000001,5.0923,2.8884,5.76117,7.17755,7.08635,5.876869999999999,7.347919999999999,7.54564,4.721830000000001,7.44291,8.41348,5.30614,9.804039999999999,4.82982,6.32241,6.3772199999999994,6.32241,6.230119999999999,3.2522900000000003,5.16783,6.46678,6.10934,5.37058,6.5944199999999995,6.49926,1
8.05612,9.20881,5.38302,4.82841,6.9348399999999994,3.17155,5.44613,8.16345,4.5816300000000005,6.99643,4.938280000000001,4.32615,4.94355,5.855980000000001,8.4297,5.28102,2.8386400000000003,4.84393,5.4192599999999995,8.715160000000001,5.66673,7.59713,6.30028,4.72516,7.33473,7.9600100000000005,6.558560000000001,6.878939999999999,4.05101,5.661980000000001,5.31877,4.557930000000001,5.73102,3.9087400000000003,4.99829,5.4974099999999995,6.19315,6.25856,7.379,6.22096,1
9.24538,10.6545,7.167089999999999,4.15147,8.64165,3.2642599999999997,4.99293,7.239669999999999,4.41485,7.8593399999999995,8.03054,4.11862,3.9958400000000003,6.23172,9.385539999999999,7.84162,5.46835,5.03569,8.002460000000001,10.7645,5.08312,6.71333,6.2471,4.81104,5.9833,6.907439999999999,5.26776,10.1457,4.43662,6.02848,6.78205,6.68048,7.368119999999999,3.15085,5.8590599999999995,5.93087,7.23337,5.94412,5.49043,7.18893,1
