iter	Passed	Remaining
0	912	181638
1	1677	166050
2	2468	162076
3	3237	158619
4	3950	154083
5	4694	151783
6	5430	149738
7	6201	148838
8	6974	148022
9	7713	146565
10	8466	145476
11	9245	144839
12	10024	144200
13	10799	143474
14	11572	142731
15	12370	142263
16	13130	141340
17	13898	140528
18	14635	139419
19	15383	138455
20	16103	137262
21	16850	136335
22	17598	135432
23	18370	134717
24	19090	133635
25	19834	132741
26	20557	131722
27	21267	130641
28	22002	129739
29	22738	128853
30	23487	128046
31	24248	127304
32	25021	126622
33	25799	125962
34	26579	125304
35	27343	124565
36	28092	123758
37	28818	122857
38	29536	121932
39	30262	121050
40	31009	120255
41	31752	119450
42	32556	118868
43	33289	118025
44	34023	117193
45	34765	116387
46	35501	115570
47	36236	114749
48	36999	114019
49	37730	113190
50	38492	112458
51	39223	111635
52	39952	110812
53	40709	110067
54	41446	109269
55	42218	108563
56	43008	107897
57	43746	107102
58	44511	106374
59	45334	105781
60	46057	104950
61	46791	104148
62	47514	103324
63	48251	102533
64	48973	101714
65	49726	100959
66	50439	100126
67	51170	99330
68	51896	98527
69	52653	97785
70	53393	97010
71	54111	96198
72	54829	95389
73	55567	94615
74	56305	93842
75	57046	93075
76	57815	92355
77	58587	91637
78	59360	90918
79	60133	90200
80	60872	89429
81	61630	88687
82	62377	87929
83	63140	87194
84	63888	86437
85	64642	85689
86	65432	84987
87	66195	84248
88	66976	83532
89	67749	82805
90	68523	82077
91	69281	81330
92	70025	80566
93	70791	79828
94	71534	79063
95	72258	78279
96	73002	77517
97	73751	76762
98	74534	76040
99	75282	75282
100	76063	74557
101	76785	73774
102	77551	73034
103	78297	72274
104	79018	71492
105	79745	70717
106	80509	69975
107	81233	69199
108	81959	68424
109	82712	67674
110	83441	66903
111	84165	66129
112	84912	65375
113	85646	64610
114	86384	63849
115	87151	63109
116	87870	62335
117	88606	61574
118	89346	60815
119	90089	60059
120	90839	59308
121	91591	58558
122	92448	57873
123	93199	57122
124	93932	56359
125	94679	55605
126	95436	54857
127	96178	54100
128	96975	53374
129	97749	52634
130	98474	51868
131	99238	51122
132	100015	50383
133	100761	49628
134	101515	48877
135	102309	48145
136	103091	47407
137	103841	46653
138	104601	45904
139	105368	45157
140	106155	44419
141	106944	43681
142	107720	42937
143	108471	42183
144	109206	41423
145	109965	40672
146	110722	39920
147	111478	39168
148	112268	38427
149	113071	37690
150	113883	36955
151	114622	36196
152	115347	35433
153	116063	34668
154	116784	33905
155	117558	33157
156	118291	32398
157	119013	31636
158	119732	30874
159	120480	30120
160	121196	29358
161	121928	28600
162	122689	27849
163	123445	27097
164	124183	26341
165	124920	25586
166	125635	24826
167	126362	24069
168	127091	23312
169	127806	22554
170	128532	21797
171	129248	21040
172	129961	20282
173	130678	19526
174	131424	18774
175	132155	18021
176	132887	17267
177	133615	16514
178	134324	15758
179	135044	15004
180	135783	14253
181	136491	13499
182	137193	12744
183	137957	11996
184	138703	11246
185	139571	10505
186	140298	9753
187	141031	9002
188	141776	8251
189	142534	7501
190	143289	6751
191	144048	6002
192	144798	5251
193	145501	4500
194	146240	3749
195	146972	2999
196	147709	2249
197	148445	1499
198	149159	749
199	149884	0
